time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030399,0,0,-36.29449875454057,-34.39054172525715,-23,-22,0,90,165,NA
2.110801,0,0,-33.41580149698988,-37.19387329001604,-14,-17,0,90,184,NA
2.191316,0,0,-30.315789953413557,-39.761198164800184,-13,-18,0,90,184,NA
2.271961,0,0,-27.01426163955707,-42.074097352998024,-11,-19,0,100,202,NA
2.352394,0,0,-23.546158026964868,-44.10871163578911,-10,-20,0,100,203,NA
2.432781,0,0,-19.92818769602578,-45.85703146903391,-8,-21,0,100,198,NA
2.513242,0,0,-16.17855528353404,-47.310192865149396,-7,-22,0,100,201,NA
2.593805,0,0,-12.318031987339499,-48.458911336913886,-5,-23,0,100,201,NA
2.674263,0,0,-8.384248851045163,-49.29203151832706,-3,-23,0,110,195,NA
2.754762,0,0,-4.393711292530822,-49.806578893534606,-1,-23,0,110,200,NA
2.835336,0,0,-0.3703824576083789,-49.99862814953122,0,-24,0,110,208,NA
2.915931,0,0,3.655671023606995,-49.866181620083566,1,-24,0,110,213,NA
2.996448,0,0,7.655299093744306,-49.41048872238887,3,-23,0,110,213,NA
3.076984,0,0,11.605190539067925,-48.63455101624696,5,-23,0,110,207,NA
3.157555,0,0,15.481982745145173,-47.54269881147922,7,-23,0,120,213,NA
3.23822,0,0,19.262343937245802,-46.14067734703566,8,-22,0,120,215,NA
3.319051,0,0,22.92464123827969,-44.43490546964364,10,-21,0,120,206,NA
3.399612,0,0,26.42662218242542,-42.445655137214466,12,-21,0,120,206,NA
3.480198,0,0,29.757692395385526,-40.18058913582047,13,-20,0,120,237,NA
3.56078,0,0,32.8957423881702,-37.65461635352486,15,-19,0,120,227,NA
3.641229,0,0,35.815328536509504,-34.88928548740842,16,-17,0,120,231,NA
3.721628,0,0,38.501565478489766,-31.900304946905532,17,-16,0,120,231,NA
3.802148,0,0,40.942553794845914,-28.70030119626183,19,-15,0,120,225,NA
3.882576,0,0,43.115960111861014,-25.318253960974683,20,-13,0,120,231,NA
3.963211,0,0,45.01540085639089,-21.76266724779944,21,-12,0,120,231,NA
4.043685,0,0,46.619034923174304,-18.073892298889422,21,-10,0,120,226,NA
4.124257,0,0,47.922617532907076,-14.262634006196306,22,-8,0,120,226,NA
4.204822,0,0,48.91488563344149,-10.360210589912677,23,-6,0,120,228,NA
4.285356,0,0,49.58975342944602,-6.391897590445801,23,-5,0,120,228,NA
4.366029,0,0,49.9435386231954,-2.3754893797677235,23,-3,0,120,226,NA
4.446771,0,0,49.972397214813306,1.6611792813899948,23,-1,0,120,227,NA
4.527312,0,0,49.67669292239357,5.676810750255196,23,0,0,120,211,NA
4.608057,0,0,49.05725068086102,9.663651257943922,23,2,0,120,211,NA
4.688866,0,0,48.116839134915594,13.593005247724111,23,3,0,120,211,NA
4.76965,0,0,46.862938344706414,17.431724231992796,22,5,0,110,214,NA
4.850282,0,0,45.3067852201849,21.149354907704282,22,7,0,110,202,NA
4.930979,0,0,43.45420625350812,24.73321570030019,21,9,0,110,197,NA
5.01158,0,0,41.32206390834014,28.151146235190023,20,10,0,110,206,NA
5.092175,0,0,38.921110947647136,31.387053423361394,19,12,0,110,206,NA
5.172563,0,0,36.27549232910106,34.410589304476176,18,13,0,110,206,NA
5.253227,0,0,33.38474962584627,37.22174757342214,17,14,0,110,200,NA
5.333732,0,0,30.283118313236066,39.78608733246518,15,16,0,110,209,NA
5.414329,0,0,26.98197949671814,42.094807072116176,14,17,0,110,204,NA
5.494788,0,0,23.51144297502389,44.12722571420279,12,18,0,110,204,NA
5.575286,0,0,19.886881034468406,45.874960084134145,11,19,0,110,197,NA
5.655965,0,0,16.124985113080925,47.32847826734891,9,19,0,110,173,NA
5.736747,0,0,12.25330560537912,48.47531848003873,7,20,0,110,155,NA
5.817402,0,0,8.30831582696678,49.3048870612171,5,20,0,110,155,NA
5.898171,0,0,4.302631697102394,49.81452961214318,4,21,0,110,146,NA
5.978928,0,0,0.2705900567799996,49.999267804850625,2,21,0,110,145,NA
6.059468,0,0,-3.7533960781239384,49.858921146377845,0,21,0,110,144,NA
6.14009,0,0,-7.756622057452662,49.3946840688129,-1,21,0,120,148,NA
