time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030495,0,0,-36.28536340517721,-34.40018026921119,-23,-22,0,80,81,NA
2.110843,0,0,-33.40646274494074,-37.20226131394282,-12,-15,0,80,81,NA
2.191248,0,0,-30.311211004973053,-39.764688951530864,-11,-16,0,80,82,NA
2.271747,0,0,-27.01574624722222,-42.073144102927444,-10,-17,0,80,81,NA
2.35216,0,0,-23.548366428085636,-44.10753267378044,-8,-18,0,80,81,NA
2.43255,0,0,-19.930964684226964,-45.85582456739926,-7,-18,0,80,82,NA
2.513183,0,0,-16.172712312366315,-47.31219056925429,-5,-19,0,80,82,NA
2.593812,0,0,-12.309655512390474,-48.46103982753852,-4,-19,0,80,82,NA
2.674397,0,0,-8.369111704648597,-49.29460385554501,-2,-20,0,80,82,NA
2.755101,0,0,-4.366944829143712,-49.808932862080226,0,-20,0,80,83,NA
2.835465,0,0,-0.35452803875205186,-49.998743082898976,0,-20,0,80,83,NA
2.9159,0,0,3.6644331779375565,-49.86553849588341,2,-20,0,80,83,NA
2.996442,0,0,7.664275615787925,-49.40909713084463,3,-19,0,80,83,NA
3.077117,0,0,11.620762539964096,-48.63083258581707,5,-19,0,80,83,NA
3.157834,0,0,15.504209110161641,-47.53545518734811,7,-19,0,80,83,NA
3.238483,0,0,19.28354043501682,-46.13182272890452,8,-18,0,80,83,NA
3.319123,0,0,22.93627278213951,-44.428902652026935,10,-17,0,80,83,NA
3.399689,0,0,26.43756084385268,-42.43884278143771,11,-16,0,80,82,NA
3.480307,0,0,29.769541312376084,-40.17181113729792,12,-15,0,80,82,NA
3.560852,0,0,32.90478184304349,-37.64671741150503,13,-14,0,80,82,NA
3.641353,0,0,35.825932655255585,-34.87839659991685,15,-13,0,80,82,NA
3.721901,0,0,38.51621745465552,-31.88261270639045,16,-12,0,80,82,NA
3.802464,0,0,40.95672684185839,-28.680071938567313,17,-11,0,80,82,NA
3.883238,0,0,43.13736765276835,-25.28176243836443,17,-9,0,80,82,NA
3.963832,0,0,45.03274766716938,-21.72674935523146,18,-8,0,80,84,NA
4.044385,0,0,46.634844560040804,-18.033060551687623,19,-6,0,80,85,NA
4.125188,0,0,47.938403684452055,-14.209484585533472,19,-5,0,80,87,NA
4.205687,0,0,48.92571472055054,-10.308949465551965,19,-3,0,80,88,NA
4.286193,0,0,49.59630906490074,-6.3408301616464104,20,-2,0,80,88,NA
4.366733,0,0,49.945668629919986,-2.330275758408561,20,0,0,80,93,NA
4.447297,0,0,49.97118695815628,1.6971959206266474,20,1,0,80,100,NA
4.527867,0,0,49.67251905379621,5.7132172066404525,20,2,0,80,116,NA
4.608376,0,0,49.05219131675309,9.68929961476334,19,4,0,80,116,NA
4.688945,0,0,48.113116865549124,13.606174535188515,19,5,0,80,122,NA
4.76946,0,0,46.8631918586126,17.431042677443756,18,7,0,80,128,NA
4.850059,0,0,45.30758188710373,21.14764817996058,18,8,0,80,126,NA
4.930605,0,0,43.45891115979833,24.72494774119362,17,10,0,80,6553,NA
5.011295,0,0,41.324902771102046,28.146978718131766,16,11,0,80,6553,NA
5.091956,0,0,38.92246538086532,31.385373801746262,15,12,0,80,6553,NA
5.172577,0,0,36.26862475522463,34.41782762413554,14,14,0,80,6553,NA
5.253093,0,0,33.38245110395027,37.22380902449895,13,15,0,80,6553,NA
5.333587,0,0,30.281818750371713,39.787076459192576,11,16,0,80,6553,NA
5.4144,0,0,26.971330242226404,42.10163114375455,10,17,0,80,6553,NA
5.494991,0,0,23.494208193312545,44.13640426415915,9,17,0,80,6553,NA
5.575475,0,0,19.86853735379998,45.882907748099996,7,18,0,80,6553,NA
5.655921,0,0,16.118496668165694,47.33068840782195,6,19,0,80,6553,NA
5.736469,0,0,12.257824502002675,48.47417599586509,4,19,0,80,6553,NA
5.816951,0,0,8.321081696737515,49.30273419797547,2,19,0,80,6553,NA
5.897517,0,0,4.325826443228828,49.812520771218374,1,19,0,80,6553,NA
5.977962,0,0,0.30949931323554464,49.9990420925752,0,19,0,80,142,NA
6.058392,0,0,-3.708900451261409,49.862250826077165,-1,19,0,80,163,NA
6.138946,0,0,-7.708934955134934,49.40214895991367,-3,19,0,80,163,NA
6.219579,0,0,-11.662479499150571,48.62084503514817,-5,19,0,80,163,NA
6.300134,0,0,-15.53706489907111,47.52472634662984,-6,18,0,80,164,NA
6.380613,0,0,-19.307705928492673,46.12171388596535,-8,18,0,80,164,NA
6.461173,0,0,-22.956612199104207,44.41839659803064,-9,17,0,80,158,NA
6.541604,0,0,-26.451253113698776,42.43031002379126,-11,16,0,80,136,NA
6.622133,0,0,-29.778556695910762,40.16512867038307,-12,15,0,80,136,NA
6.702543,0,0,-32.909200940517316,37.6428544807199,-13,14,0,80,100,NA
6.782952,0,0,-35.826409693563264,34.87790659527828,-14,13,0,80,100,NA
6.86332,0,0,-38.510685837906635,31.88929407017436,-15,12,0,80,89,NA
6.943831,0,0,-40.95105312251423,28.688172617945146,-16,10,0,80,89,NA
7.02411,0,0,-43.119656107099125,25.311958778520268,-17,9,0,80,70,NA
7.104515,0,0,-45.01288597571563,21.767868433478345,-18,7,0,80,60,NA
7.185063,0,0,-46.61802808941798,18.07648906879419,-18,6,0,80,58,NA
7.265552,0,0,-47.92094541592824,14.268251134726572,-19,4,0,80,58,NA
7.34614,0,0,-48.91392053094274,10.364766195752729,-19,3,0,80,54,NA
7.426636,0,0,-49.58893674820947,6.398230394576336,-19,1,0,80,54,NA
7.507212,0,0,-49.94307232402561,2.385272906220111,-19,0,0,80,58,NA
7.587728,0,0,-49.97309989697985,-1.6399044748010387,-19,-1,0,80,63,NA
7.668188,0,0,-49.67973190626557,-5.650153778577907,-19,-3,0,80,67,NA
7.748743,0,0,-49.06404137427488,-9.629114394555865,-19,-4,0,80,72,NA
7.82927,0,0,-48.13026058995858,-13.545405698711255,-18,-6,0,80,72,NA
7.909822,0,0,-46.88434655923635,-17.374062498834938,-18,-7,0,80,72,NA
7.990317,0,0,-45.33572956064892,-21.087238444227427,-17,-9,0,80,71,NA
8.070913,0,0,-43.490964151438405,-24.66852320627037,-16,-10,0,80,67,NA
8.151439,0,0,-41.36567171342407,-28.087029100587113,-16,-12,0,80,67,NA
8.232025,0,0,-38.97006112390018,-31.326256335532403,-15,-13,0,80,61,NA
