time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030257,0,0,-36.194592992722974,-34.495672744434614,-23,-22,75,30
2.110568,0,0,-33.31184829132915,-37.287005288913605,-14,-17,75,30
2.191017,0,0,-30.206344856299538,-39.84440651361626,-13,-18,73,30
2.271229,0,0,-26.91601237591687,-42.137017903258055,-11,-19,73,30
2.351551,0,0,-23.44883526294279,-44.1605267723492,-10,-20,73,30
2.431808,0,0,-19.832927842828223,-45.89831122362967,-8,-21,73,30
2.512053,0,0,-16.08989161785008,-47.34042023182555,-6,-22,73,30
2.592394,0,0,-12.23887408719722,-48.47896410895898,-5,-22,73,30
2.672688,0,0,-8.310800474221871,-49.30446831147937,-3,-23,73,30
2.753077,0,0,-4.324833193762385,-49.812607017161135,-1,-23,72,30
2.833507,0,0,-0.3086811559099238,-49.99904715036064,0,-23,72,30
2.913904,0,0,3.7074814083109064,-49.862356358349416,2,-23,71,30
2.994293,0,0,7.699861145861068,-49.40356402461729,3,-23,71,30
3.074622,0,0,11.638570903125846,-48.626573674616566,5,-22,71,30
3.155202,0,0,15.514488083040426,-47.532101358147386,7,-22,71,30
3.235544,0,0,19.280020800137304,-46.13329381202119,9,-21,72,30
3.315863,0,0,22.919386400914178,-44.437616126493445,10,-21,72,30
3.396231,0,0,26.411886113921458,-42.454826249853426,12,-20,71,30
3.47657,0,0,29.73375678140147,-40.19830478595412,13,-19,72,30
3.556937,0,0,32.865953537518784,-37.680619661434136,15,-18,72,30
3.637234,0,0,35.78239727218373,-34.92305893611867,16,-17,72,30
3.717521,0,0,38.468117623925124,-31.940631278543343,17,-15,72,30
3.797825,0,0,40.90625488670176,-28.75201403631037,19,-14,72,30
3.878101,0,0,43.07957088355522,-25.380121601141724,20,-12,72,30
3.95839,0,0,44.97647672205552,-21.8429975431578,20,-11,72,30
4.038726,0,0,46.58457219772746,-18.16253377573509,21,-9,72,30
4.119071,0,0,47.89197828759914,-14.365180670640129,22,-7,72,30
4.199402,0,0,48.89027325972736,-10.475742483909592,22,-6,72,30
4.279783,0,0,49.57345056685377,-6.517131186013166,23,-4,72,30
4.360138,0,0,49.93666272494773,-2.5158926636119348,23,-2,72,30
4.440477,0,0,49.97752908834382,1.4988616426298513,23,0,72,30
4.520925,0,0,49.69537900879748,5.5108352517536625,23,1,72,30
4.601301,0,0,49.09244213727179,9.48325497909983,23,2,72,30
4.681618,0,0,48.17326230740313,13.391669002112227,22,4,72,30
4.762227,0,0,46.93913091838225,17.225504016631042,22,6,72,30
4.842519,0,0,45.405685267692746,20.93618268384258,21,8,71,30
4.923019,0,0,43.575145249369015,24.51951705267445,20,9,71,30
5.003292,0,0,41.46853405096733,27.93493661463658,19,11,73,30
5.083669,0,0,39.09167359552037,31.174365358436656,18,12,71,30
5.163969,0,0,36.465190538966574,34.2094998349415,17,14,71,30
5.244361,0,0,33.6005412298592,37.027066168689785,16,15,72,30
5.324868,0,0,30.51389615773752,39.60936936224574,14,16,72,30
5.405258,0,0,27.234322841126247,41.9319884978677,13,17,73,30
5.48551,0,0,23.78520009776458,43.98027121686836,11,18,73,30
5.565852,0,0,20.17908391861404,45.74718103015236,10,19,73,30
5.646226,0,0,16.440698978606132,47.219735461932224,8,20,72,30
5.726697,0,0,12.591878450906332,48.388475870578944,6,20,72,30
5.80715,0,0,8.662153475210856,49.2439549302439,5,21,74,30
5.887602,0,0,4.6783560085471905,49.78064870064763,3,21,74,30
5.967913,0,0,0.6681583125567865,49.99553544537113,1,21,72,30
6.048239,0,0,-3.345850212824587,49.887927260544124,0,21,73,30
6.128619,0,0,-7.340767620624636,49.45819578937336,-2,21,73,30
6.209102,0,0,-11.291962523295002,48.70822910322753,-3,21,74,30
6.289588,0,0,-15.172509268590922,47.642365206762385,-5,20,74,30
6.370128,0,0,-18.95503501222389,46.267771155366525,-7,20,73,30
6.450673,0,0,-22.617391472125075,44.5920800478812,-9,19,71,30
6.531105,0,0,-26.127033113196063,42.63071827569829,-10,18,73,30
6.611506,0,0,-29.466711842968586,40.39446612054001,-12,17,74,30
6.691908,0,0,-32.615705095944314,37.89743765869128,-13,16,74,30
6.77219,0,0,-35.5497843018629,35.159818487742825,-14,15,72,30
6.85247,0,0,-38.25488251656935,32.19571343585162,-16,13,74,30
6.93299,0,0,-40.72052637430589,29.01445728941795,-17,12,73,30
7.013279,0,0,-42.91645826086549,25.654972429207373,-18,11,73,30
7.093751,0,0,-44.839564462706065,22.122691038723723,-19,9,73,30
7.174171,0,0,-46.471936647709924,18.44882392488029,-20,7,72,30
7.254548,0,0,-47.80326318021809,14.657695225471345,-20,6,72,30
7.335071,0,0,-48.82735597512088,10.76518966292869,-21,4,71,30
7.415467,0,0,-49.534082925915925,6.809891973334432,-21,2,73,30
7.495887,0,0,-49.92109775474903,2.807845964577005,-21,0,70,30
7.576269,0,0,-49.98535807701065,-1.2099495497854378,-21,-1,72,30
7.656562,0,0,-49.72735889345426,-5.21438179284902,-21,-2,72,30
7.737002,0,0,-49.14753689911733,-9.193455104034634,-21,-4,73,30
7.817272,0,0,-48.25200994617776,-13.105095808652553,-21,-6,71,30
7.89757,0,0,-47.04547815791473,-16.93289652992565,-20,-8,70,30
7.977954,0,0,-45.534005180077,-20.655613577444765,-19,-9,70,30
8.058254,0,0,-43.730009709259846,-24.24224104384822,-19,-11,71,30
8.138485,0,0,-41.64650731154692,-27.668907256147087,-18,-13,70,30
8.218816,0,0,-39.29192907908658,-30.921583226672446,-17,-14,71,30
8.299161,0,0,-36.68321364103486,-33.975606498872004,-16,-15,72,30
8.379372,0,0,-33.843021190997895,-36.80556909851643,-14,-17,72,30
8.459775,0,0,-30.777735232648208,-39.40470801755807,-13,-18,69,30
8.540089,0,0,-27.517050545831612,-41.74699904493912,-11,-19,70,30
8.620308,0,0,-24.083174309239677,-43.8178127613734,-10,-20,70,30
8.700605,0,0,-20.492287776284446,-45.6077421244896,-8,-21,72,30
8.781015,0,0,-16.762661361154453,-47.10640279294588,-7,-22,72,30
8.861313,0,0,-12.929382615044647,-48.29938990498515,-5,-22,70,30
8.941549,0,0,-9.016126431910271,-49.18037682006726,-3,-23,70,30
9.02189,0,0,-5.040158738134952,-49.74531937674541,-1,-23,70,30
9.102237,0,0,-1.0312717969556586,-49.98936365348936,0,-23,70,30
9.182558,0,0,2.9815084822851152,-49.91102690959245,1,-23,71,30
9.262951,0,0,6.981263091896038,-49.51022081996535,3,-23,70,30
9.343439,0,0,10.937744024128431,-48.78899215666012,5,-23,71,30
9.423723,0,0,14.816631364767039,-47.75423996883001,7,-22,70,30
9.504223,0,0,18.609019880304114,-46.40802063323156,8,-22,70,30
9.584461,0,0,22.268802707426985,-44.767180232595535,10,-21,71,30
9.66479,0,0,25.78804323937916,-42.83662948790335,12,-20,70,30
9.745277,0,0,29.14964677856754,-40.62386112477182,13,-19,70,30
9.825594,0,0,32.31395771768003,-38.15505388044927,15,-18,71,30
9.906052,0,0,35.2770775271817,-35.43342773626638,16,-17,71,30
9.986293,0,0,38.003872528858714,-32.491624656367335,17,-15,72,30
10.066547,0,0,40.4859405312645,-29.340903518789506,18,-14,72,30
10.146943,0,0,42.71090597428692,-25.995740244425075,19,-13,72,30
10.227255,0,0,44.65949258037244,-22.48398813519655,20,-11,72,30
10.307566,0,0,46.31926018081739,-18.828864445360068,21,-9,72,30
10.387948,0,0,47.68166399192625,-15.048552055299005,22,-8,72,30
10.468172,0,0,48.734243548879526,-11.179154964419013,22,-6,71,30
10.548642,0,0,49.47518036334254,-7.225408501581432,23,-4,71,30
10.628979,0,0,49.895377059826,-3.2328544751952237,23,-2,71,30
10.709293,0,0,49.993890423241524,0.7816139385398272,23,-1,71,30
10.789645,0,0,49.76992767993894,4.7910644676990275,23,0,72,30
10.870057,0,0,49.22409745729592,8.774293676110535,23,2,71,30
10.950306,0,0,48.36234896868375,12.691855744187059,22,4,71,30
11.03068,0,0,47.18728890396447,16.533595068641045,22,6,71,30
11.111038,0,0,45.708105072125846,20.26744016188289,21,7,72,30
11.191335,0,0,43.93478843842695,23.86910900873063,20,9,70,30
11.271737,0,0,41.87587447970849,27.320525920261847,19,11,72,30
11.352193,0,0,39.544565950391366,30.597831684535226,18,12,71,30
11.432463,0,0,36.96380720105558,33.67011964937445,17,13,71,30
11.512821,0,0,34.141737853584694,36.528642684024035,16,15,72,30
11.593411,0,0,31.09027804862507,39.15858285049629,15,16,71,30
11.673757,0,0,27.847639561685778,41.52720759745872,13,17,72,30
11.754221,0,0,24.420618690488347,43.630647288044806,12,18,72,30
11.83472,0,0,20.83178697009665,45.45367588691273,10,19,73,30
11.915123,0,0,17.11373004976739,46.97999833741683,8,20,75,30
11.99552,0,0,13.2863004397167,48.202429613304595,7,20,72,30
12.075985,0,0,9.36788817501945,49.11458715229449,5,21,73,30
12.156261,0,0,5.39940776692574,49.707609032888136,3,21,73,30
12.236538,0,0,1.3960706536948981,49.98050606716474,1,21,75,30
12.317034,0,0,-2.6272218859971592,49.93092934406226,0,21,74,30
12.397308,0,0,-6.623008871659486,49.55941639573573,-1,21,73,30
12.4776,0,0,-10.576691451231232,48.8685338223427,-3,21,75,30
12.558089,0,0,-14.471305572119201,47.8600179172381,-5,20,75,30
12.638356,0,0,-18.262322251169174,46.54554313781773,-7,20,74,30
12.718628,0,0,-21.93574283383308,44.931316320890716,-8,19,74,30
12.79901,0,0,-25.47261826083934,43.02494298587221,-10,18,74,30
12.87934,0,0,-28.84318340194238,40.84202212479097,-11,17,74,30
12.959869,0,0,-32.03484907492458,38.38969190742228,-13,16,75,30
13.040362,0,0,-35.01802711773648,35.68946310581699,-14,15,74,30
13.120914,0,0,-37.77632580748902,32.75590341429219,-15,14,74,30
13.201434,0,0,-40.28830242240872,29.611698497731194,-17,12,75,30
13.282002,0,0,-42.540301838537935,26.273993215460905,-18,11,72,30
13.362264,0,0,-44.510559876012415,22.77740238754002,-19,9,75,30
13.442521,0,0,-46.193364826868134,19.13564856418152,-19,8,75,30
13.522941,0,0,-47.58079211597881,15.364511759766684,-20,6,75,30
13.603234,0,0,-48.660145318762105,11.497402209062454,-21,4,74,30
13.683511,0,0,-49.425337846091985,7.558834486854931,-21,2,76,30
13.764063,0,0,-49.87327598278096,3.557575402625144,-21,1,75,30
13.844288,0,0,-49.997959445418,-0.4517203718423864,-21,0,75,30
13.924583,0,0,-49.800647687615154,-4.460436065457214,-21,-2,77,30
14.004852,0,0,-49.282647007348885,-8.439235981357927,-21,-4,77,30
14.085202,0,0,-48.44634780382381,-12.367351554432965,-21,-6,74,30
14.165428,0,0,-47.299253080213624,-16.210510727731613,-20,-7,73,30
14.24568,0,0,-45.847522090350076,-19.95005559327748,-20,-9,75,30
