time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030429,0,0,-36.32337223724937,-34.36004408195981,-21,-20,76,50
2.110708,0,0,-33.45095589276282,-37.16225975180245,-11,-13,76,50
2.191178,0,0,-30.356887668163964,-39.72982973915789,-10,-14,77,50
2.271578,0,0,-27.067997024856922,-42.03954729849427,-9,-15,76,50
2.351904,0,0,-23.6076346552473,-44.07583902757118,-7,-16,76,50
2.432441,0,0,-19.985341731607548,-45.8321515518404,-6,-17,76,50
2.512752,0,0,-16.243691059147622,-47.28786843128972,-5,-17,76,50
2.593224,0,0,-12.390158395060451,-48.44051996980744,-3,-18,75,50
2.673649,0,0,-8.458407063114215,-49.27936028353716,-2,-18,75,50
2.754192,0,0,-4.46605987137588,-49.80014366671332,-1,-18,75,50
2.83448,0,0,-0.45641285063307724,-49.99791682970178,0,-19,74,50
2.914893,0,0,3.559196701195934,-49.87316030534055,1,-19,75,50
2.995278,0,0,7.553111577389406,-49.426212736760505,3,-18,76,50
3.075539,0,0,11.49247558185915,-48.66130911720698,4,-18,75,50
3.155929,0,0,15.36206537593921,-47.581582018522354,5,-18,75,50
3.236431,0,0,19.138769156328824,-46.19207199488627,7,-18,75,50
3.316858,0,0,22.787847825786823,-44.50521308193887,8,-17,75,50
3.397446,0,0,26.296570042698608,-42.526349525787495,9,-16,77,50
3.477734,0,0,29.624370023447906,-40.278985845150586,10,-16,76,50
3.558157,0,0,32.76184149772987,-37.77117606955898,12,-15,76,50
3.638532,0,0,35.69082688041859,-35.0166371399652,13,-14,77,50
3.719119,0,0,38.391665036103106,-32.03248438313298,14,-13,77,50
3.79953,0,0,40.842615924365305,-28.842342561844408,15,-12,77,50
3.879821,0,0,43.024319565311146,-25.473671230154178,15,-11,77,50
3.960443,0,0,44.93528167311402,-21.9276186795991,16,-9,78,50
4.040818,0,0,46.551442006236734,-18.247280540945766,17,-8,78,50
4.121254,0,0,47.86714493275762,-14.447713867127089,17,-7,78,50
4.201757,0,0,48.87351463531372,-10.553651841508497,18,-5,77,50
4.282259,0,0,49.563971772491605,-6.5888316214375635,18,-4,77,50
4.362458,0,0,49.932588780407215,-2.59549180055557,18,-2,78,50
4.442868,0,0,49.97974747156066,1.4229696690463431,18,-1,78,50
4.52333,0,0,49.70388420055672,5.433589548139177,18,0,78,50
4.603681,0,0,49.10691808559524,9.408007022459053,18,1,79,50
4.684272,0,0,48.190987958471176,13.327740978368618,18,2,80,50
4.764603,0,0,46.96501674454176,17.154801140931713,18,4,80,50
4.844947,0,0,45.43667794919446,20.868835543488913,17,5,80,50
4.925317,0,0,43.614636123347196,24.44920276467145,17,6,79,50
5.005586,0,0,41.514499790488614,27.86658047097851,16,7,79,50
5.085919,0,0,39.14467048751721,31.107792792541527,15,9,80,50
5.166178,0,0,36.52483007482098,34.145816552038305,14,10,80,50
5.246479,0,0,33.6667146576751,36.966908501505564,13,11,79,50
5.326895,0,0,30.589842108371002,39.550746640043755,12,12,79,50
5.407308,0,0,27.312474826767108,41.88112604547797,11,13,79,50
5.487524,0,0,23.86846637169777,43.93513756736324,10,13,81,50
5.568053,0,0,20.25888132695322,45.711899188071655,9,14,81,50
5.648351,0,0,16.52501810797027,47.190293244811,7,15,81,50
5.728739,0,0,12.684645014564389,48.364240724470044,6,15,82,50
5.809055,0,0,8.760922008663028,49.22647910990714,5,16,79,50
5.889475,0,0,4.778363456610264,49.77114869757912,3,16,79,50
5.969749,0,0,0.773766742959881,49.994012491772345,2,16,81,50
6.050231,0,0,-3.247514353816948,49.894425044505255,0,16,82,50
6.130602,0,0,-7.242999715451822,49.47260812936756,0,16,81,50
6.211048,0,0,-11.197423548906524,48.73004931114264,-1,16,81,50
6.291413,0,0,-15.07324573461817,47.67386352105119,-3,15,81,50
6.371833,0,0,-18.852023908301412,46.309839068612966,-4,15,83,50
6.452476,0,0,-22.52230448182337,44.64018146051872,-6,14,82,50
6.532896,0,0,-26.03481555504722,42.68709850780059,-7,14,82,50
6.613175,0,0,-29.374343140714526,40.461685148440836,-8,13,81,50
6.693568,0,0,-32.53002913387789,37.971004787193294,-9,12,80,50
6.774192,0,0,-35.48148177969192,35.22874466564755,-10,11,80,50
6.85455,0,0,-38.19588938600269,32.26567888658546,-11,10,82,50
6.935247,0,0,-40.67101342831517,29.083821391175658,-12,9,82,50
7.01547,0,0,-42.87223268723002,25.72881000769383,-13,8,79,50
7.095904,0,0,-44.800045507995065,22.20261071319252,-14,7,80,50
7.1763,0,0,-46.43911188866201,18.53129480075072,-14,6,78,50
7.25669,0,0,-47.776649858043555,14.744209993821537,-15,4,79,50
7.336946,0,0,-48.80529956898701,10.86474730407645,-15,3,79,50
7.417321,0,0,-49.519791681597866,6.913047939306534,-16,2,78,50
7.497722,0,0,-49.91504400507044,2.913482790730244,-16,0,78,50
7.577991,0,0,-49.98789048273887,-1.100365887195862,-16,0,78,50
7.658367,0,0,-49.7384235119421,-5.107761402677808,-16,-2,78,50
7.738781,0,0,-49.16735658101396,-9.086861220213681,-16,-3,78,50
7.819237,0,0,-48.27792633160469,-13.009297795044542,-16,-4,80,50
7.899474,0,0,-47.07937185027068,-16.838430633047142,-15,-6,80,50
7.979832,0,0,-45.57644308780585,-20.56180525790463,-15,-7,82,50
8.060164,0,0,-43.7787084178475,-24.154185750405425,-14,-8,82,50
8.140581,0,0,-41.6966139280811,-27.593339539326394,-14,-10,82,50
8.220879,0,0,-39.34894565691834,-30.848994727363284,-13,-11,80,50
8.301343,0,0,-36.743851487738446,-33.91001884173793,-12,-12,80,50
8.381577,0,0,-33.90590692676497,-36.747645849408514,-11,-13,80,50
8.462028,0,0,-30.845323134257303,-39.35182385535963,-10,-14,80,50
8.542499,0,0,-27.580580146812434,-41.70505483469906,-9,-15,78,50
8.62291,0,0,-24.14324267662141,-43.78474429590479,-8,-16,78,50
8.70337,0,0,-20.545000801750273,-45.584020687693624,-6,-16,78,50
8.783714,0,0,-16.821195819066098,-47.08553250433336,-5,-17,78,50
8.864212,0,0,-12.978051940707216,-48.28633520805142,-4,-17,78,50
8.944424,0,0,-9.067631667053574,-49.17090660086153,-2,-18,78,50
9.024717,0,0,-5.095886682529031,-49.73964152382708,-1,-18,77,50
9.10531,0,0,-1.073140745127714,-49.98848236285181,0,-18,77,50
9.185636,0,0,2.9392991281218963,-49.913530436500096,1,-18,77,50
9.265869,0,0,6.932237015745618,-49.517109063004945,2,-18,77,50
9.346116,0,0,10.878923677325092,-48.80214154750727,4,-18,77,50
9.426324,0,0,14.754408448594397,-47.773501350979565,5,-18,75,50
9.50658,0,0,18.535738443145103,-46.437338428976666,6,-17,77,50
9.586886,0,0,22.202294017388265,-44.8002024589783,8,-17,76,50
9.667179,0,0,25.723907080528306,-42.87517468783475,9,-16,76,50
9.747387,0,0,29.076464495987146,-40.676273334876676,10,-15,76,50
9.82765,0,0,32.24391204228731,-38.2142661346419,11,-15,76,50
9.908014,0,0,35.20648390144601,-35.50357012044314,12,-14,77,50
9.988264,0,0,37.94059609855433,-32.565490441360836,13,-13,77,50
10.068455,0,0,40.42728727677228,-29.421666224762422,14,-12,77,50
10.148825,0,0,42.65781306671088,-26.082771792230027,15,-11,77,50
10.22927,0,0,44.615827028856934,-22.57051125985229,16,-9,77,50
10.309669,0,0,46.28427295976664,-18.914705299999106,17,-8,77,50
10.389888,0,0,47.651816732880846,-15.142799016560218,17,-7,77,50
10.470099,0,0,48.711980300076355,-11.275769385943146,18,-5,77,50
10.550293,0,0,49.45867409498444,-7.33754432805113,18,-4,77,50
10.630567,0,0,49.88768011289918,-3.3495332440571346,18,-3,77,50
10.710844,0,0,49.99559761776813,0.6634898960934105,18,-1,78,50
10.791071,0,0,49.78160985347073,4.668117436057738,18,0,78,50
10.871293,0,0,49.24754551158907,8.641716327441168,18,1,77,50
10.951601,0,0,48.39613930069332,12.562392319454432,18,2,77,50
11.032015,0,0,47.23036245658183,16.41014510051345,18,3,77,50
11.112363,0,0,45.760231814136674,20.14947106790831,17,5,79,50
11.192601,0,0,43.99827851714325,23.75187334775704,17,6,79,50
11.272882,0,0,41.95250570847483,27.202706938471888,16,7,77,50
11.353108,0,0,39.63610932896403,30.479154142830318,15,8,77,50
11.433541,0,0,37.06014681830739,33.56405097430137,14,10,77,50
11.513772,0,0,34.249711695515614,36.42742440489117,13,11,75,50
11.594089,0,0,31.217337231216746,39.05736622191119,12,12,75,50
11.674438,0,0,27.981225820965122,41.43731412092433,11,12,75,50
11.754772,0,0,24.56760011379466,43.54805420048841,10,13,76,50
11.835111,0,0,20.993537628365715,45.37919542969435,9,14,77,50
11.915351,0,0,17.28683531392104,46.916578358074794,8,15,76,50
11.995653,0,0,13.469254424280495,48.151627026031015,6,15,76,50
12.076005,0,0,9.559365845344054,49.077678476420104,2,17,78,50
12.156199,0,0,5.596758553784062,49.68577556696327,1,17,77,50
12.236386,0,0,1.598945198644901,49.97442720283776,0,18,78,50
12.316626,0,0,-2.4118106932714003,49.94179781685699,-1,18,77,50
12.396872,0,0,-6.405781820367107,49.587961838231,-3,18,77,50
12.477104,0,0,-10.361159310713008,48.914684684029446,-4,17,78,50
