time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030346,0,0,-36.30702494358667,-34.37731722729066,-25,-24,0,70,87,NA
2.110734,0,0,-33.42840946052479,-37.182542152729376,-14,-17,0,70,87,NA
2.19125,0,0,-30.33014988515472,-39.75024538218662,-12,-18,0,70,86,NA
2.271738,0,0,-27.03615619079328,-42.06003160278211,-11,-19,0,70,86,NA
2.352234,0,0,-23.5666938785697,-44.0977430219936,-9,-20,0,70,84,NA
2.43266,0,0,-19.947351798939557,-45.84869852252453,-8,-21,0,70,83,NA
2.513225,0,0,-16.19324058071158,-47.30516842264908,-6,-21,0,70,84,NA
2.593819,0,0,-12.332161399838242,-48.455317512202306,-4,-22,0,70,82,NA
2.674437,0,0,-8.390160115206454,-49.29102568664197,-2,-22,0,70,82,NA
2.754928,0,0,-4.399779289744179,-49.80604322972803,-1,-22,0,70,82,NA
2.835374,0,0,-0.3827798720511012,-49.99853477422666,0,-22,0,70,82,NA
2.915771,0,0,3.634425006270807,-49.86773460739713,2,-22,0,70,83,NA
2.996254,0,0,7.630912778916114,-49.41426079747197,4,-22,0,70,83,NA
3.076705,0,0,11.577800411471683,-48.6410787054741,6,-22,0,70,79,NA
3.157331,0,0,15.457213533496317,-47.55075761520418,7,-21,0,70,79,NA
3.237775,0,0,19.22885244821149,-46.154644766533636,9,-20,0,70,79,NA
3.318323,0,0,22.87969991907953,-44.45806261650267,11,-19,0,60,77,NA
3.399103,0,0,26.39100119401111,-42.46781199894462,12,-19,0,60,75,NA
3.479656,0,0,29.724747053413697,-40.204967511621916,14,-17,0,60,75,NA
3.560232,0,0,32.86367160226632,-37.682609899241235,15,-16,0,60,77,NA
3.640661,0,0,35.78527805233661,-34.92010702613834,16,-15,0,60,76,NA
3.721263,0,0,38.480443831264566,-31.925780218326583,18,-14,0,60,76,NA
3.801834,0,0,40.92537132528567,-28.7247973341412,19,-12,0,60,74,NA
3.882357,0,0,43.10307297775036,-25.340187447505734,19,-11,0,60,69,NA
3.962869,0,0,45.00152252350946,-21.791350820132077,20,-9,0,60,67,NA
4.043411,0,0,46.6085688078892,-18.10086499812254,21,-7,0,60,67,NA
4.123952,0,0,47.91386590409936,-14.292006651411288,22,-5,0,60,67,NA
4.20454,0,0,48.90898166328267,-10.38804662391732,22,-4,0,60,71,NA
4.28493,0,0,49.58520874511571,-6.4270579352687385,22,-2,0,60,71,NA
4.365359,0,0,49.94127415262418,-2.4226299784390877,22,0,0,60,76,NA
4.445877,0,0,49.97432862025916,1.6020233938199253,22,1,0,60,82,NA
4.526372,0,0,49.68363648917697,5.615715912626175,22,3,0,60,6553,NA
4.606786,0,0,49.0720671463184,9.58812943108392,22,4,0,60,6553,NA
4.687292,0,0,48.142072986451026,13.503362861421675,21,6,0,60,6553,NA
4.767853,0,0,46.899106699968605,17.334179840562403,21,8,0,60,104,NA
4.848187,0,0,45.35657871832378,21.042356497514678,20,9,0,60,6553,NA
4.928493,0,0,43.522689995007916,24.612506081227046,19,11,0,60,104,NA
5.008971,0,0,41.403518457066895,28.031208667756747,18,13,0,60,104,NA
5.089424,0,0,39.01682706735485,31.267990111232375,17,14,0,60,99,NA
5.169992,0,0,36.37397316004474,34.30647280838333,16,15,0,60,6553,NA
5.250814,0,0,33.48514759750522,37.131454191470745,14,17,0,60,43,NA
5.331423,0,0,30.386079185442803,39.707508002089476,13,18,0,60,37,NA
5.411861,0,0,27.09788513942954,42.020288206654214,11,19,0,60,37,NA
5.492488,0,0,23.625924065192784,44.06603807997429,10,20,0,60,39,NA
5.573142,0,0,19.998176443764716,45.82655277155433,8,20,0,60,40,NA
5.653703,0,0,16.245750107782193,47.28716108454275,6,21,0,60,6553,NA
5.734323,0,0,12.384725995982864,48.441909149046,5,21,0,60,143,NA
5.814909,0,0,8.445266943814735,49.281613876249125,3,22,0,60,143,NA
5.895469,0,0,4.45151055994509,49.801446301635636,1,22,0,60,148,NA
5.976098,0,0,0.42747751569439096,49.99817259634172,0,22,0,60,149,NA
6.056606,0,0,-3.595989878025082,49.870520919648925,-2,22,0,60,155,NA
6.137229,0,0,-7.601191556455297,49.41884141622578,-3,21,0,60,155,NA
6.217792,0,0,-11.552916123458797,48.646995066954815,-5,21,0,60,155,NA
6.298336,0,0,-15.430051756884906,47.55957845460632,-7,21,0,60,155,NA
6.378729,0,0,-19.19897625895625,46.167080377776045,-9,20,0,60,159,NA
6.459238,0,0,-22.850093975173202,44.473286423714555,-10,19,0,60,155,NA
6.539766,0,0,-26.353156882540276,42.49130643230707,-12,18,0,60,155,NA
6.620283,0,0,-29.685272296135622,40.23412244232851,-13,17,0,60,158,NA
6.700711,0,0,-32.822264716080554,37.718681563749456,-15,16,0,60,155,NA
6.781296,0,0,-35.75159574444265,34.9545905672767,-16,15,0,60,150,NA
6.861884,0,0,-38.449852786753546,31.96261598613262,-17,13,0,60,156,NA
6.942405,0,0,-40.89536184858492,28.76750561437862,-18,12,0,60,156,NA
7.023041,0,0,-43.07997851999884,25.379429676736994,-19,10,0,60,156,NA
7.10386,0,0,-44.98841854101654,21.818391260088802,-20,9,0,60,148,NA
7.184361,0,0,-46.597155055465834,18.130227266553366,-21,7,0,60,155,NA
7.264815,0,0,-47.903642708447386,14.326235208924073,-21,5,0,60,153,NA
7.345372,0,0,-48.900960864218696,10.425738657579691,-22,3,0,60,153,NA
7.426034,0,0,-49.58213747397555,6.450708760422326,-22,2,0,60,155,NA
7.506464,0,0,-49.94010007277131,2.44671304438982,-22,0,0,60,157,NA
7.587036,0,0,-49.975020814069765,-1.580283086441799,-22,-1,0,60,156,NA
7.667604,0,0,-49.685773276118965,-5.59677889094277,-22,-3,0,60,151,NA
7.748262,0,0,-49.07322266154232,-9.582213607026796,-21,-5,0,60,151,NA
7.828849,0,0,-48.142422710134056,-13.502115967461132,-21,-6,0,60,141,NA
7.909483,0,0,-46.89847696946107,-17.335883535168595,-20,-8,0,60,43,NA
7.989927,0,0,-45.354032984314685,-21.04784293122922,-19,-10,0,60,40,NA
8.070564,0,0,-43.51110530735724,-24.632980228386266,-19,-11,0,60,34,NA
8.151089,0,0,-41.389208651776364,-28.052333364262594,-18,-13,0,60,34,NA
8.231565,0,0,-38.999142602622676,-31.29004436334824,-16,-14,0,60,38,NA
8.312061,0,0,-36.35738647022379,-34.324050592183724,-15,-16,0,60,39,NA
8.392537,0,0,-33.480345838355355,-37.1357838552537,-14,-17,0,60,55,NA
8.473144,0,0,-30.381285186809627,-39.711176139693244,-12,-18,0,60,55,NA
8.553608,0,0,-27.09157957630788,-42.02435384465272,-11,-19,0,60,60,NA
8.634318,0,0,-23.61465683488438,-44.07207713020398,-9,-20,0,60,60,NA
8.714822,0,0,-19.994501270239226,-45.82815639925309,-8,-21,0,60,60,NA
8.795466,0,0,-16.2370646137625,-47.29014413943461,-6,-21,0,60,59,NA
8.875936,0,0,-12.382608199661787,-48.442450538486064,-4,-22,0,60,59,NA
8.956355,0,0,-8.452794064099585,-49.28032338073607,-2,-22,0,60,59,NA
9.03701,0,0,-4.4543321134535265,-49.801194016037975,-1,-22,0,60,58,NA
9.117564,0,0,-0.4327539208427099,-49.99812720536635,0,-22,0,60,58,NA
9.198158,0,0,3.5943415177162747,-49.87063974979689,2,-22,0,60,57,NA
9.278646,0,0,7.592064410491843,-49.42024441448002,4,-22,0,60,57,NA
9.359201,0,0,11.54445340792088,-48.64900405468075,6,-21,0,60,58,NA
9.439772,0,0,15.421426615698158,-47.56237589877777,7,-21,0,60,58,NA
9.520331,0,0,19.199486619964063,-46.1668681364658,9,-20,0,60,58,NA
9.600967,0,0,22.85598247088175,-44.470260458993785,11,-19,0,60,58,NA
9.681511,0,0,26.359502132146805,-42.48737044517286,12,-18,0,60,59,NA
9.762021,0,0,29.691664085338964,-40.22940571079061,14,-17,0,60,60,NA
9.842501,0,0,32.82919194242842,-37.71265247111628,15,-16,0,60,62,NA
9.923348,0,0,35.767504364930765,-34.93831180101092,16,-15,0,60,64,NA
10.004029,0,0,38.46709513150295,-31.941862690580557,17,-14,0,60,64,NA
10.084551,0,0,40.91170206089576,-28.744262635880872,19,-12,0,60,6553,NA
10.165223,0,0,43.09496137083194,-25.353980051394352,19,-11,0,60,6553,NA
10.245697,0,0,44.9930075373702,-21.808926446346433,20,-9,0,60,110,NA
10.326234,0,0,46.60248005131072,-18.1165353494311,21,-7,0,60,119,NA
10.406631,0,0,47.90669986774632,-14.316008793713229,21,-5,0,60,119,NA
10.487299,0,0,48.904488651170944,-10.409178150434968,22,-4,0,60,137,NA
10.567819,0,0,49.583306079464066,-6.4417201297620945,22,-2,0,60,139,NA
10.648478,0,0,49.941117364562565,-2.4258599256732136,22,0,0,60,145,NA
10.728976,0,0,49.974450420059,1.5982193882771338,22,1,0,60,148,NA
10.810095,0,0,49.68079474219857,5.640800810482001,22,3,0,60,150,NA
10.890537,0,0,49.06640368665746,9.617069681455346,22,4,0,60,150,NA
10.97103,0,0,48.13462638443408,13.52988332658277,21,6,0,60,150,NA
11.051593,0,0,46.889711223269536,17.359578952220897,21,8,0,60,156,NA
11.132105,0,0,45.34162330766273,21.074562767137436,20,9,0,60,150,NA
11.212625,0,0,43.49959915548907,24.653293356299773,19,11,0,60,148,NA
11.293212,0,0,41.37356276226495,28.075403903718332,18,13,0,60,150,NA
11.373634,0,0,38.98468543955775,31.308054892930247,17,14,0,60,150,NA
11.454031,0,0,36.343648660537546,34.3385963900595,16,15,0,60,144,NA
11.534344,0,0,33.4721608114385,37.14316155920495,14,17,0,60,143,NA
11.614768,0,0,30.380372790439264,39.71187415766143,13,18,0,60,148,NA
11.695222,0,0,27.0900930162366,42.02531213889611,11,19,0,60,142,NA
11.775876,0,0,23.61685954890625,44.07089680330134,10,20,0,60,142,NA
11.856408,0,0,19.993688715660692,45.828510902507645,8,20,0,60,141,NA
11.936927,0,0,16.24357718823217,47.287907546538186,6,21,0,60,145,NA
12.01735,0,0,12.391219755826107,48.44024848163792,5,21,0,60,142,NA
12.097819,0,0,8.458288396638153,49.2793806515392,2,22,0,60,142,NA
12.178296,0,0,4.469929359283223,49.79979650081934,1,22,0,60,147,NA
12.258731,0,0,0.45380108290198445,49.997940603360426,0,22,0,60,143,NA
12.339355,0,0,-3.5746199425729785,49.87205722913543,-2,22,0,60,149,NA
12.419882,0,0,-7.5743352726190425,49.42296475504033,-4,22,0,60,150,NA
12.500343,0,0,-11.522453507686011,48.654219397326834,-6,21,0,60,150,NA
12.580775,0,0,-15.393441593354273,47.57144054905202,-7,21,0,60,148,NA
12.661417,0,0,-19.17645053450898,46.17644144904986,-9,20,0,60,154,NA
12.741907,0,0,-22.826453259974414,44.48542493413099,-11,19,0,60,156,NA
12.822458,0,0,-26.33210945112076,42.50435285772737,-12,18,0,60,150,NA
12.903149,0,0,-29.672893928561976,40.24325242701327,-14,17,0,60,150,NA
12.983626,0,0,-32.81156851875346,37.72798657944983,-15,16,0,70,154,NA
13.064246,0,0,-35.74390887248898,34.96245097980408,-16,15,0,70,145,NA
13.144587,0,0,-38.43436142359118,31.981242345486926,-18,13,0,70,153,NA
13.225173,0,0,-40.883916460559874,28.783769295315746,-19,12,0,70,149,NA
13.305604,0,0,-43.064308904563696,25.406009103602155,-20,10,0,70,142,NA
13.386192,0,0,-44.96969455153251,21.856957060438827,-20,9,0,60,146,NA
13.466732,0,0,-46.58243747848558,18.16800810664124,-21,7,0,60,146,NA
13.547324,0,0,-47.89378318800312,14.359161951191645,-22,5,0,60,151,NA
13.627771,0,0,-48.89288449070325,10.463548450633242,-22,4,0,60,6553,NA
13.70828,0,0,-49.57598122990725,6.497852344573872,-22,2,0,60,34,NA
13.788745,0,0,-49.93784251769369,2.4923652778083163,-22,0,0,60,36,NA
13.869276,0,0,-49.97647748168224,-1.533524868695819,-22,-1,0,60,36,NA
13.949673,0,0,-49.69193472901293,-5.54180682517162,-22,-3,0,60,43,NA
14.030215,0,0,-49.08484741465065,-9.522486769770985,-22,-4,0,60,43,NA
14.110586,0,0,-48.162060729401205,-13.43189883439679,-21,-6,0,60,120,NA
14.191217,0,0,-46.92373564850411,-17.267397973907492,-21,-8,0,60,124,NA
14.27166,0,0,-45.38433721113097,-20.982419686641308,-20,-10,0,60,135,NA
14.352273,0,0,-43.54745409883044,-24.568663812064653,-19,-11,0,60,131,NA
14.432709,0,0,-41.432347059584615,-27.988580120008415,-18,-13,0,60,131,NA
14.513105,0,0,-39.05126647854835,-31.224967356610726,-17,-14,0,60,6553,NA
14.593642,0,0,-36.41246573636997,-34.26561452823636,-16,-15,0,60,135,NA
14.67424,0,0,-33.53530279729203,-37.08616273347698,-14,-17,0,60,132,NA
