time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030278,0,0,-36.31608866860104,-34.36774219837997,-21,-20,74,10
2.110626,0,0,-33.44160735198104,-37.170672548609176,-11,-13,74,10
2.190956,0,0,-30.351308166753206,-39.73409232091228,-10,-14,74,10
2.271242,0,0,-27.065220592300044,-42.04133483002339,-9,-15,73,10
2.351542,0,0,-23.60703566862926,-44.07615984792761,-7,-16,72,10
2.431976,0,0,-19.989821803061222,-45.83019773339254,-6,-17,71,10
2.51226,0,0,-16.24995943076785,-47.28571474027224,-5,-17,71,10
2.592596,0,0,-12.400794835734057,-48.4377981275164,-3,-18,70,10
2.673026,0,0,-8.471824238820345,-49.277055452477434,-2,-18,70,10
2.753458,0,0,-4.482610976022236,-49.79865659671599,-1,-18,70,10
2.833879,0,0,-0.4698948427947534,-49.997791939611844,0,-19,69,10
2.914096,0,0,3.540242687928748,-49.87450933804329,1,-19,69,10
2.99437,0,0,7.527539011177602,-49.430113862252014,3,-18,69,10
3.074761,0,0,11.473424611471525,-48.66580450054103,4,-18,69,10
3.155011,0,0,15.337752465862813,-47.589424763238306,5,-18,69,10
3.235228,0,0,19.101781210779315,-46.207379871353,7,-18,69,10
3.315491,0,0,22.743334453553807,-44.52797702494233,8,-17,69,10
3.395845,0,0,26.245795131471304,-42.55770480085641,9,-16,69,10
3.476305,0,0,29.57954289708018,-40.31191687329931,10,-16,69,10
3.556564,0,0,32.71765687739097,-37.80945554293676,12,-15,69,10
3.637029,0,0,35.65093911464503,-35.05724661527019,13,-14,69,10
3.717288,0,0,38.347019291922415,-32.08591764972494,14,-13,69,10
3.797616,0,0,40.79793823680549,-28.905505282312642,15,-12,69,10
3.877833,0,0,42.98301875387787,-25.543298510642337,15,-11,69,10
3.958183,0,0,44.894504690124904,-22.010984726457668,16,-9,69,10
4.038573,0,0,46.51627363405505,-18.336746908918027,17,-8,69,10
4.118816,0,0,47.836623033096714,-14.54845341572089,17,-7,70,10
4.199111,0,0,48.849653322655456,-10.66355335975663,18,-5,70,10
4.279322,0,0,49.54702109321557,-6.715109886550706,18,-4,70,10
4.359898,0,0,49.92665622298305,-2.70721229165123,18,-2,70,10
4.440256,0,0,49.982838200933145,1.3099180811555746,18,-1,70,10
4.520615,0,0,49.716413682098505,5.3177260732806495,18,0,71,10
4.60092,0,0,49.12972054978447,9.288194587759522,18,1,71,10
4.681321,0,0,48.22502011619799,13.204068872597558,18,2,71,10
4.761628,0,0,47.01023524497243,17.03049565374867,18,4,71,10
4.84188,0,0,45.492904511875345,20.7459788651534,17,5,71,10
4.922076,0,0,43.68492918871302,24.323383024923338,17,6,71,10
5.002418,0,0,41.5929121723977,27.74940822827058,16,7,71,10
5.083051,0,0,39.22177222406761,31.01052375570846,15,9,72,10
5.163518,0,0,36.60320462646866,34.061788136750295,14,10,72,10
5.243909,0,0,33.749715339161604,36.89114683125966,13,11,72,10
5.324123,0,0,30.68340195850495,39.478207206670554,12,12,72,10
5.404445,0,0,27.417164356372975,41.812666724996525,11,13,72,10
5.484646,0,0,23.978995649829553,43.87491045717877,10,13,72,10
5.564891,0,0,20.387393178560586,45.65472811640412,9,14,72,10
5.645084,0,0,16.661985938486783,47.14210670500067,7,15,72,10
5.725373,0,0,12.829485581302444,48.32602093819801,6,15,72,10
5.805791,0,0,8.907272508861256,49.20020829684448,5,16,72,10
5.886117,0,0,4.927264744348157,49.7566283236626,3,16,73,10
5.966468,0,0,0.9198963167703361,49.99153719147264,2,16,73,10
