time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030224,0,0,-36.317932245705705,-34.365794002122655,-23,-22,82,60
2.110536,0,0,-33.44407096426675,-37.16845594502266,-14,-17,80,60
2.190771,0,0,-30.356906612819618,-39.729815263861326,-13,-18,80,60
2.270993,0,0,-27.07542365216752,-42.034764589035674,-11,-19,80,60
2.351223,0,0,-23.61949789513254,-44.06948285584742,-10,-20,79,60
2.431679,0,0,-20.00237591228517,-45.82471994310095,-8,-21,80,60
2.511953,0,0,-16.262179679455755,-47.281513428327315,-6,-22,79,60
2.592163,0,0,-12.421488563328568,-48.43249551562564,-5,-22,79,60
2.67238,0,0,-8.500724251273088,-49.27207817013423,-3,-23,79,60
2.752725,0,0,-4.519083395868384,-49.7953600776336,-1,-23,80,60
2.83305,0,0,-0.5089697747471884,-49.997409430573434,0,-23,80,60
2.913322,0,0,3.5018812474234537,-49.8772175219202,1,-23,80,60
2.993864,0,0,7.501976216053909,-49.43399996817738,3,-23,79,60
3.074102,0,0,11.441444732030032,-48.67333297036379,5,-23,79,60
3.15436,0,0,15.306898919201247,-47.59935761622583,7,-22,79,60
3.234687,0,0,19.07682560612906,-46.21768844061047,9,-21,79,60
3.314983,0,0,22.722693930050053,-44.53851345253079,10,-21,80,60
3.395206,0,0,26.21896244689387,-42.574241134850176,12,-20,79,60
3.475489,0,0,29.548086348007423,-40.33497977154193,13,-19,79,60
3.555814,0,0,32.689766207639046,-37.833572198378256,15,-18,79,60
3.636021,0,0,35.61596699329196,-35.092775540454724,16,-17,79,60
3.716301,0,0,38.3153148003955,-32.1237708207893,17,-15,79,60
3.796687,0,0,40.77121584247729,-28.943185013507556,18,-14,80,60
3.877121,0,0,42.96498166082641,-25.57362608010156,19,-12,80,60
3.957507,0,0,44.87944342598093,-22.041677744086932,20,-11,80,60
4.037831,0,0,46.503496644833255,-18.36912626675484,21,-9,80,60
4.118078,0,0,47.8263474784477,-14.582197600868643,22,-7,80,60
4.198373,0,0,48.841544280788284,-10.700633264802462,22,-6,80,60
4.278614,0,0,49.54233575553585,-6.7495902013199425,23,-4,80,60
4.359097,0,0,49.92458934360439,-2.745064456886739,23,-2,80,60
4.439539,0,0,49.98375960771606,1.2742744908582997,23,0,80,60
4.519937,0,0,49.71980765805243,5.285898830499032,23,1,80,60
4.600162,0,0,49.13624331430295,9.253625935686964,23,2,81,60
4.680414,0,0,48.23647043573121,13.162177627688695,22,4,81,60
4.760811,0,0,47.02337687020686,16.994176288437604,22,6,80,60
4.841029,0,0,45.510467068232,20.707423481239054,21,8,79,60
4.921404,0,0,43.700977504185,24.294537764253032,20,9,80,60
5.001759,0,0,41.610317226891794,27.72330247783319,19,11,82,60
5.08198,0,0,39.25440749268206,30.969202320990867,18,12,81,60
5.162199,0,0,36.646508452957086,34.015193931643914,17,14,81,60
5.242606,0,0,33.795847875310066,36.848889622197575,16,15,81,60
5.322915,0,0,30.731194119092052,39.4410155550625,15,16,80,60
5.403138,0,0,27.471113215110783,41.77724187548246,13,17,80,60
5.483435,0,0,24.032421021328673,43.845669567855836,12,18,80,60
5.563756,0,0,20.437875913785838,45.63215125470958,10,19,82,60
5.644012,0,0,16.712486920855056,47.12422711217924,8,20,81,60
5.724302,0,0,12.879805930364215,48.312633950097926,7,20,81,60
5.804541,0,0,8.965166810652764,49.189691847552474,5,21,81,60
5.884921,0,0,4.986943458630068,49.75068235653082,3,21,82,60
5.96535,0,0,0.9732209923179439,49.99052751172077,1,21,81,60
6.045598,0,0,-3.0372405187522875,49.907666445459554,0,21,82,60
6.126017,0,0,-7.036757509678263,49.50236402183219,-1,21,80,60
6.206376,0,0,-10.986589517098896,48.77801606033985,-3,21,80,60
6.286834,0,0,-14.870027284763273,47.73764016528672,-5,20,80,60
6.367158,0,0,-18.654526360120087,46.389747210774765,-7,20,81,60
6.447475,0,0,-22.316261225567047,44.74354126477086,-8,19,80,60
6.527802,0,0,-25.83446306492388,42.80865003883075,-10,18,80,60
6.608278,0,0,-29.19158518822455,40.59373540583115,-12,17,81,60
6.688589,0,0,-32.354944419838546,38.1203039283419,-13,16,81,60
6.768891,0,0,-35.30847862619781,35.40213746517761,-14,15,79,60
