time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030314,0,0,-36.30797568787189,-34.37631308690482,-23,-22,78,70
2.110522,0,0,-33.43672400283991,-37.17506540623579,-14,-17,78,60
2.190798,0,0,-30.34801133793841,-39.73661042203225,-13,-18,78,60
2.271159,0,0,-27.06090034879268,-42.044115787024374,-11,-19,78,60
2.351443,0,0,-23.60127676783503,-44.07924381075576,-10,-20,78,60
2.43168,0,0,-19.992149179426868,-45.82918252803056,-8,-21,77,60
2.511952,0,0,-16.25424340538028,-47.28424231515878,-6,-22,77,60
2.592423,0,0,-12.4008294811439,-48.43778925776436,-5,-22,78,60
2.672639,0,0,-8.478074407525042,-49.27598050105618,-3,-23,77,60
2.752845,0,0,-4.50284206964457,-49.79683135798742,-1,-23,77,60
2.833051,0,0,-0.49869445571710314,-49.997512976545515,0,-23,77,60
2.913459,0,0,3.5171856427369397,-49.87614064013499,1,-23,78,60
2.993691,0,0,7.504734124640882,-49.43358135638618,3,-23,77,60
3.073983,0,0,11.444276241628607,-48.672667291872294,5,-23,78,60
3.154255,0,0,15.311415581622272,-47.59790492119222,7,-22,78,60
3.234635,0,0,19.083447922784693,-46.21495445608883,9,-21,77,60
3.315011,0,0,22.731241652811075,-44.53415153476607,10,-21,77,60
3.395316,0,0,26.232014744540788,-42.56620023495396,12,-20,77,60
3.475526,0,0,29.558269394542062,-40.32751802925241,13,-19,77,60
3.555787,0,0,32.695737190402305,-37.82841220004011,15,-18,77,60
3.636079,0,0,35.62383922715293,-35.084784148088474,16,-17,76,60
3.716466,0,0,38.32620355935995,-32.1107788869486,17,-15,77,60
3.796695,0,0,40.7772046841397,-28.93474689966677,18,-14,76,60
3.876925,0,0,42.96503653577582,-25.57353388719378,19,-12,76,60
3.957423,0,0,44.882091695290654,-22.036284738029725,20,-11,77,60
4.03771,0,0,46.50485417552079,-18.365689154331967,21,-9,77,60
4.118118,0,0,47.82983320777252,-14.570760286157372,22,-7,77,60
4.198521,0,0,48.84529923024337,-10.683479915644812,22,-6,76,60
4.278888,0,0,49.5454764138771,-6.726497373964273,23,-4,76,60
4.359358,0,0,49.925839405500696,-2.7222343132350053,23,-2,77,60
4.43964,0,0,49.98333979755461,1.2906365414761245,23,0,78,60
4.520118,0,0,49.717935589855536,5.303478168426485,23,1,78,60
4.600555,0,0,49.13082522668902,9.282349516396039,23,2,78,60
4.680966,0,0,48.22651515223071,13.19860736106889,22,4,78,60
4.761505,0,0,47.00882206863747,17.03439601862016,22,6,78,60
4.841938,0,0,45.48757097688184,20.757670549055753,21,8,78,60
4.92233,0,0,43.673749623484746,24.3434507378302,20,9,78,60
5.002762,0,0,41.576556882432754,27.773907139648784,19,11,78,60
5.083077,0,0,39.215080207176584,31.018985869056188,18,12,79,60
5.163429,0,0,36.597771236549065,34.067625988865466,17,14,79,60
5.243875,0,0,33.7418689589507,36.898323527729545,16,15,76,60
5.324222,0,0,30.67271783150003,39.486508845796685,15,16,79,60
5.404531,0,0,27.40490141022799,41.82070514345357,13,17,79,60
5.484772,0,0,23.964433182949563,43.88286615776077,12,18,78,60
5.565105,0,0,20.365675427039058,45.664420114576046,10,19,78,60
5.645317,0,0,16.641371004078042,47.14938781261779,8,20,78,60
5.725548,0,0,12.80912538526481,48.33142152745525,7,20,78,60
5.805877,0,0,8.891342371253746,49.20308964726857,5,21,79,60
5.886234,0,0,4.911154661888669,49.75822102815784,3,21,80,60
5.966615,0,0,0.9004326654468193,49.991891552680784,1,21,78,60
6.046986,0,0,-3.114912925331875,49.902878849497256,0,21,79,60
6.1274,0,0,-7.114809030170209,49.491206213469965,-1,21,79,60
6.207619,0,0,-11.05799499896915,48.76187800528988,-3,21,81,60
6.287965,0,0,-14.935843954220307,47.71708881915556,-5,20,81,60
6.368317,0,0,-18.71770688475521,46.36429066616233,-7,20,80,60
6.448535,0,0,-22.372654227495257,44.715370319577346,-8,19,80,60
6.528822,0,0,-25.886812643925715,42.77701405122017,-10,18,80,60
6.609057,0,0,-29.232142038310688,40.56453958634351,-12,17,82,60
6.689512,0,0,-32.39677786168768,38.08475789840948,-13,16,79,60
6.769806,0,0,-35.34669361420411,35.363982390895714,-14,15,81,60
6.850179,0,0,-38.07207205460307,32.41168507605108,-16,14,80,60
6.930489,0,0,-40.55034481920322,29.251829601645746,-17,12,80,60
7.010699,0,0,-42.76378816765821,25.908655340477544,-18,11,81,60
7.091072,0,0,-44.705807521171714,22.391756828796318,-19,9,80,60
7.171476,0,0,-46.359179131464415,18.730363324206888,-19,7,78,60
7.251764,0,0,-47.712082902350964,14.95182748426388,-20,6,78,60
7.332111,0,0,-48.75853009830929,11.072747746258237,-21,4,78,60
7.412361,0,0,-49.48914480084199,7.129133669759175,-21,2,79,60
7.492613,0,0,-49.90142152944716,3.138172930293639,-21,0,79,60
7.572873,0,0,-49.99238009290734,-0.872887533581301,-21,0,77,60
7.65316,0,0,-49.76144315040085,-4.878398875596818,-21,-2,80,60
7.733544,0,0,-49.20886859277865,-8.859303122630092,-21,-4,78,60
7.813777,0,0,-48.34048877993361,-12.774863776851536,-21,-6,78,60
7.894005,0,0,-47.16144891172834,-16.60715919555291,-20,-8,78,60
7.974307,0,0,-45.677685581199086,-20.335905191191202,-19,-9,81,60
8.054581,0,0,-43.89941369082424,-23.93410699403412,-19,-11,79,60
8.134906,0,0,-41.83718255680526,-27.379739876568404,-18,-12,79,60
8.215156,0,0,-39.50761939223712,-30.645521858146413,-17,-14,78,60
8.295425,0,0,-36.92308331232407,-33.71477300399894,-16,-15,78,60
8.375732,0,0,-34.099400598377756,-36.56816756184749,-14,-17,79,60
8.455968,0,0,-31.058846039965232,-39.183517997568,-13,-18,79,60
8.536387,0,0,-27.812079011746267,-41.55103200937833,-12,-19,78,60
8.616593,0,0,-24.392281337732598,-43.64649597780906,-10,-20,77,60
8.696918,0,0,-20.812813541356253,-45.4623667717898,-8,-21,78,60
8.777317,0,0,-17.095172923801915,-46.98675411970176,-7,-22,78,60
8.857573,0,0,-13.271042141221406,-48.20663274369955,-5,-22,79,60
8.937845,0,0,-9.36413358592836,-49.11530313644504,-3,-23,78,60
9.018212,0,0,-5.389729565512353,-49.708659358412014,-2,-23,78,60
9.098604,0,0,-1.38007138617113,-49.98095040081842,0,-23,78,60
9.178858,0,0,2.6309674187877308,-49.930732124026356,1,-23,76,60
9.259181,0,0,6.628593410883708,-49.55866977021467,3,-23,79,60
9.339424,0,0,10.57997278408616,-48.86782352313224,5,-23,78,60
9.419729,0,0,14.464329285984384,-47.862126763304346,6,-22,78,60
9.500006,0,0,18.257579530632434,-46.547403683585095,8,-22,78,60
9.580329,0,0,21.933221443036512,-44.93254719165967,10,-21,78,60
9.660632,0,0,25.465700314815702,-43.029037956663586,11,-20,79,60
9.740944,0,0,28.835730166133995,-40.84728468069708,13,-19,78,60
9.821226,0,0,32.019704469922516,-38.40232448249486,14,-18,78,60
9.901462,0,0,34.994931670397094,-35.71210939421303,16,-17,77,60
9.981757,0,0,37.746404184246366,-32.79037924696067,17,-16,78,60
10.061989,0,0,40.25303495861217,-29.659621990523526,18,-14,78,60
10.142354,0,0,42.50353721304121,-26.333425990167335,19,-13,78,60
10.222587,0,0,44.477564142720716,-22.841766304954707,20,-11,79,60
10.302861,0,0,46.16614813787731,-19.201217828866145,21,-10,78,60
10.383147,0,0,47.557475021001316,-15.43653360138978,22,-8,78,60
10.463486,0,0,48.64277575997275,-11.570668362934251,22,-6,78,60
10.543861,0,0,49.41458638624643,-7.628804118352297,23,-4,79,60
10.624365,0,0,49.8680333718486,-3.6303233498126155,23,-3,79,70
10.704738,0,0,49.99851260716387,0.38566445425496343,23,-1,79,70
10.785175,0,0,49.805924693259634,4.401120931007249,23,0,80,70
10.865491,0,0,49.29203155143324,8.384248656409818,23,2,80,70
10.945928,0,0,48.459293152469854,12.31652983445373,22,4,80,70
11.026161,0,0,47.31582167414372,16.162085858596075,22,5,78,70
11.106544,0,0,45.86526629643956,19.90922769864984,21,7,80,70
11.186852,0,0,44.12110658667342,23.522924001224922,20,9,79,70
11.267262,0,0,42.08842210053468,26.991938149885126,20,10,79,70
11.347635,0,0,39.785088414953876,30.284430650324325,19,12,80,70
11.427873,0,0,37.23006931349473,33.37546911898585,17,13,81,70
11.508155,0,0,34.43334301516433,36.253894808696536,16,15,80,70
11.588459,0,0,31.414973434728278,38.89857894699132,15,16,80,70
11.66869,0,0,28.195460342716316,41.29183958195991,13,17,81,70
11.748905,0,0,24.79621803881711,43.41828613581426,12,18,81,70
11.829215,0,0,21.23314903680475,45.267575393219786,10,19,81,70
