time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030351,0,0,-36.29439216289303,-34.39065421776865,-21,-20,0,90,149,NA
2.110704,0,0,-33.41594338011348,-37.19374581857882,-11,-13,0,90,149,NA
2.191199,0,0,-30.317903907831205,-39.75958629859613,-10,-14,0,90,176,NA
2.271788,0,0,-27.019668258350382,-42.07062546728647,-9,-15,0,90,188,NA
2.352489,0,0,-23.539364194429837,-44.11233765424356,-7,-16,0,100,210,NA
2.43312,0,0,-19.90989492067634,-45.86497666245592,-6,-17,0,100,205,NA
2.513729,0,0,-16.151707163433258,-47.319365546324676,-5,-17,0,100,205,NA
2.594294,0,0,-12.291722843063418,-48.465591397911496,-3,-18,0,100,205,NA
2.674905,0,0,-8.349201865107258,-49.29797996080254,-2,-18,0,100,196,NA
2.755555,0,0,-4.350247806850011,-49.81039393559337,-1,-18,0,100,196,NA
2.836063,0,0,-0.33057945477012746,-49.998907160297854,0,-19,0,100,197,NA
2.916655,0,0,3.69602117037305,-49.863207152249586,1,-19,0,110,199,NA
2.997275,0,0,7.699272208937109,-49.40365581060463,3,-18,0,110,200,NA
3.077794,0,0,11.648390342124722,-48.62422238388493,4,-18,0,110,200,NA
3.158293,0,0,15.520335554231393,-47.53019234427798,5,-18,0,110,198,NA
3.2388,0,0,19.29274594918933,-46.12797365742439,7,-17,0,110,197,NA
3.319266,0,0,22.93777692896402,-44.42812610899863,8,-17,0,110,208,NA
3.39986,0,0,26.439958817082914,-42.4373488539395,9,-16,0,110,208,NA
3.480452,0,0,29.771054568822397,-40.170689686140555,11,-16,0,120,233,NA
3.560967,0,0,32.904853648398614,-37.64665465054589,12,-15,0,120,220,NA
3.641557,0,0,35.82959134753255,-34.87463811810555,13,-14,0,120,220,NA
3.721936,0,0,38.512925840091725,-31.886588767624474,14,-13,0,120,230,NA
3.802543,0,0,40.95575584198245,-28.681458530066433,15,-12,0,120,232,NA
3.88318,0,0,43.1329909385719,-25.28922878802503,15,-11,0,120,225,NA
3.96386,0,0,45.03087231747055,-21.73063593932916,16,-9,0,120,233,NA
4.044516,0,0,46.63541635901255,-18.031581767042628,17,-8,0,120,233,NA
4.125059,0,0,47.9347941266613,-14.221656444823767,17,-7,0,120,224,NA
4.205595,0,0,48.92371065318031,-10.318456082374507,18,-5,0,120,221,NA
4.28598,0,0,49.594229229425665,-6.357076933558413,18,-4,0,120,224,NA
4.366642,0,0,49.94518643215339,-2.340588015315913,18,-2,0,120,224,NA
4.447269,0,0,49.97143084441554,1.6899998111819015,18,-1,0,120,219,NA
4.527641,0,0,49.67442056228224,5.696660583316406,18,0,0,120,214,NA
4.608012,0,0,49.0567183838461,9.66635305624701,18,1,0,120,218,NA
4.688545,0,0,48.12014335356748,13.58130345850926,18,2,0,120,218,NA
4.769032,0,0,46.872502656013765,17.405990197687196,18,4,0,120,221,NA
4.849618,0,0,45.31913640408065,21.122875646756338,17,5,0,110,230,NA
4.930113,0,0,43.47425306881817,24.69796186142399,16,6,0,110,230,NA
5.010748,0,0,41.34313394594117,28.120193376432656,16,8,0,110,205,NA
5.091297,0,0,38.946840257357316,31.35512133556322,15,9,0,110,219,NA
5.171889,0,0,36.29602898943762,34.38892670028979,14,10,0,110,219,NA
5.252463,0,0,33.410291030557644,37.19882327780598,13,11,0,110,209,NA
5.33305,0,0,30.307917642384425,39.76719914932963,12,12,0,110,200,NA
5.413701,0,0,27.005118858106435,42.079966200788995,11,13,0,110,181,NA
5.494281,0,0,23.53053593518509,44.117047482837776,10,14,0,110,170,NA
5.574703,0,0,19.910142417181724,45.8648692239228,9,14,0,110,170,NA
5.655213,0,0,16.157445352158355,47.3174065190815,7,15,0,110,148,NA
