time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030424,0,0,-36.28691347869491,-34.39854517548249,-21,-20,81,60
2.11097,0,0,-33.40358885914085,-37.204841772670946,-11,-13,81,60
2.191402,0,0,-30.304308642043743,-39.769949430792,-10,-14,80,60
2.2717,0,0,-27.016448414806284,-42.07269322315973,-9,-15,81,60
2.352273,0,0,-23.544559528377672,-44.10956491073881,-7,-16,80,60
2.432585,0,0,-19.92803463155878,-45.85709798628119,-6,-17,80,60
2.513064,0,0,-16.17695356695018,-47.31074057011514,-5,-17,81,60
2.593542,0,0,-12.321243834610495,-48.4580947868163,-3,-18,81,60
2.674111,0,0,-8.38468367975521,-49.291957554863316,-2,-18,80,60
2.754527,0,0,-4.396988731616282,-49.80628966399765,-1,-18,80,60
2.835008,0,0,-0.37599705874696665,-49.99858624213102,0,-19,80,60
2.915504,0,0,3.644721144304512,-49.86698314296003,1,-19,81,60
2.995982,0,0,7.64059684269933,-49.41276434168941,3,-18,81,60
3.076446,0,0,11.589594155809802,-48.63826998674623,4,-18,81,60
3.157079,0,0,15.466146804094244,-47.54785276996434,5,-18,81,60
3.237494,0,0,19.238304588104977,-46.15070569964558,7,-17,81,60
3.318092,0,0,22.88888930778448,-44.45333222893408,8,-17,82,60
3.398544,0,0,26.389178648938184,-42.46894453873825,9,-16,82,60
3.479037,0,0,29.71796001721533,-40.20998448663206,11,-16,82,60
3.559686,0,0,32.86041020213848,-37.68545397560169,12,-15,82,60
3.640245,0,0,35.786918156517146,-34.91842620821768,13,-14,83,60
3.720789,0,0,38.480192644001384,-31.92608297427891,14,-13,83,60
3.801133,0,0,40.919590341349135,-28.733031971864136,15,-12,84,60
3.881625,0,0,43.096256526446396,-25.351778505791778,15,-11,85,60
3.962067,0,0,44.99485983807597,-21.805104635197196,16,-9,88,60
4.042653,0,0,46.60334069484481,-18.114321297808015,17,-8,88,60
4.122996,0,0,47.90749939251171,-14.31333301353986,17,-7,92,60
4.203414,0,0,48.90243844676081,-10.41880578381084,18,-5,95,60
4.283925,0,0,49.5817138617565,-6.453963939386659,18,-4,109,60
4.364514,0,0,49.940418522739556,-2.440204453239941,18,-2,129,60
4.445016,0,0,49.97496101023259,1.5821731971348865,18,-1,129,60
4.525452,0,0,49.686140611744946,5.593516882061749,18,0,137,60
4.605814,0,0,49.07694593355265,9.563125944749954,18,1,150,60
4.686303,0,0,48.149251987754944,13.477742133594806,18,2,165,60
4.766814,0,0,46.909252918879424,17.306703631616344,18,4,165,60
4.847174,0,0,45.367679790510415,21.018411700832974,17,5,165,60
4.927527,0,0,43.534491561445364,24.591625495002205,16,6,168,60
5.008083,0,0,41.41588495575525,28.012934036470472,16,8,175,60
5.088539,0,0,39.02860299299856,31.25329020143166,15,9,166,60
5.168982,0,0,36.39153752685055,34.287840358235286,14,10,166,60
5.24942,0,0,33.519844901444145,37.10013474076784,13,11,173,60
5.329917,0,0,30.426392958337622,39.67662550601831,12,12,164,60
5.410489,0,0,27.135142989404866,41.996238104674944,11,13,167,60
5.490844,0,0,23.675708176604783,44.03931019369229,10,13,171,60
5.571133,0,0,20.067467461763787,45.7962525723563,9,14,171,60
5.651643,0,0,16.319260364140742,47.26184233784571,7,15,172,60
5.732191,0,0,12.465658769270764,48.42114570565326,6,15,170,60
5.812629,0,0,8.534162771033529,49.266297463859665,5,16,166,60
5.892916,0,0,4.553803947758346,49.79219687466481,3,16,162,60
5.973443,0,0,0.5345463242047663,49.997142520620905,2,16,162,60
6.053856,0,0,-3.4837149266159044,49.87848965546244,0,16,155,60
6.134439,0,0,-7.487754544742328,49.43615611956183,0,16,159,60
6.214795,0,0,-11.430145772438346,48.6759875875242,-2,16,160,60
6.295334,0,0,-15.308015236238267,47.598998618953075,-3,15,160,60
6.37593,0,0,-19.091021418821914,46.211826421232075,-4,15,163,60
6.456484,0,0,-22.748603870358224,44.52528519784599,-6,14,160,60
6.536979,0,0,-26.2544431684473,42.55237025025481,-7,14,157,60
6.617591,0,0,-29.596305638417014,40.29961156831918,-8,13,157,60
6.698039,0,0,-32.73993828377596,37.79016328589413,-9,12,157,60
6.778496,0,0,-35.670862602417614,35.03697420154093,-10,11,160,60
6.858925,0,0,-38.370833246526374,32.05743526808198,-11,10,161,60
6.939289,0,0,-40.8192660677293,28.87537909174394,-12,9,163,60
7.019885,0,0,-43.01134344071108,25.4955748204507,-13,8,163,60
7.100486,0,0,-44.92464988810128,21.94939252989753,-14,7,160,60
7.181072,0,0,-46.54537209367442,18.26275818876749,-14,6,162,60
7.261686,0,0,-47.865130637825715,14.454385805833397,-15,4,172,60
7.342298,0,0,-48.873575945598795,10.553367912177928,-15,3,169,60
7.422686,0,0,-49.563464801213044,6.592644150787732,-16,2,153,60
7.503132,0,0,-49.93279491447962,2.5915231097788984,-16,0,153,60
7.583708,0,0,-49.97934675142252,-1.4369754003015411,-16,0,146,60
7.664297,0,0,-49.701457558000186,-5.455741618726628,-16,-2,98,60
7.744848,0,0,-49.1011996747352,-9.437806445450345,-16,-3,80,60
7.825427,0,0,-48.181897262184656,-13.360567960093702,-16,-5,80,60
7.905787,0,0,-46.954429516163074,-17.183758285418055,-15,-6,68,60
7.986353,0,0,-45.418473353218744,-20.90842601113147,-15,-7,63,60
8.066967,0,0,-43.58815580298019,-24.49638082850454,-14,-9,62,60
8.147657,0,0,-41.47147519082622,-27.930570089002583,-13,-10,62,60
8.228085,0,0,-39.09255532773305,-31.173259661898207,-13,-11,66,60
8.308606,0,0,-36.45871088713444,-34.21640542851257,-12,-12,71,60
8.389157,0,0,-33.58732042501799,-37.03905920332169,-11,-13,75,60
8.469848,0,0,-30.493925028093965,-39.6247465150376,-10,-14,75,60
8.550463,0,0,-27.20427010435057,-41.95149208418621,-9,-15,77,60
8.630929,0,0,-23.743882541583552,-44.00259130837051,-7,-16,78,60
8.711484,0,0,-20.126003907348785,-45.77055785897067,-6,-16,78,60
8.791971,0,0,-16.381182954054353,-47.24041537736305,-5,-17,78,60
8.872494,0,0,-12.527661354283804,-48.4051412661133,-4,-17,78,60
8.952783,0,0,-8.603651035739263,-49.25420985921125,-2,-18,78,60
9.033397,0,0,-4.609295479112219,-49.78709064794041,-1,-18,78,60
