time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030212,0,0,-36.31169643724766,-34.37238283635825,-21,-20,10,0
2.110685,0,0,-33.432185781876825,-37.17914676059784,-11,-13,10,0
2.190874,0,0,-30.34533961652058,-39.73865075160488,-10,-14,10,0
2.271273,0,0,-27.057903074630076,-42.046044774793316,-9,-15,10,0
2.35177,0,0,-23.58940039038342,-44.08560070161434,-7,-16,10,0
2.432104,0,0,-19.973222727931503,-45.837434198048655,-6,-17,10,0
2.512703,0,0,-16.219956599484984,-47.29601471488717,-5,-17,10,0
2.592923,0,0,-12.375952444968275,-48.444151360921616,-3,-18,10,0
2.673186,0,0,-8.4518862302262,-49.28047908808632,-2,-18,10,0
2.75365,0,0,-4.4662379705397015,-49.800127694520114,-1,-18,10,0
2.833866,0,0,-0.4584870054579531,-49.99789785246802,0,-19,10,0
2.914488,0,0,3.5693988369726988,-49.87243118139137,1,-19,10,0
2.994778,0,0,7.557424539259734,-49.42555345500336,3,-18,10,0
3.075352,0,0,11.509483059940967,-48.65728927604714,4,-18,10,0
3.155841,0,0,15.386465015395693,-47.57369750534432,5,-18,10,0
3.23635,0,0,19.162466715833272,-46.182246257242426,7,-18,10,0
3.316859,0,0,22.812578242551997,-44.49254177867841,8,-17,10,0
3.39742,0,0,26.31910550490182,-42.51240625302039,9,-16,10,0
3.477844,0,0,29.649745552601342,-40.26031033991165,10,-16,10,0
3.558194,0,0,32.78488008967979,-37.75118061074802,12,-15,10,0
3.638574,0,0,35.71110802838541,-34.99595352872939,13,-14,10,0
3.71893,0,0,38.40564497975232,-32.015721664351496,14,-13,10,0
3.799246,0,0,40.85052929584612,-28.831133454118962,15,-12,10,0
3.879569,0,0,43.032267545912646,-25.46024253334978,15,-11,10,0
3.959951,0,0,44.93748764128516,-21.923097511285754,16,-9,10,0
4.040433,0,0,46.553843073950475,-18.24115388471884,17,-8,10,0
4.12082,0,0,47.868915099476986,-14.441847776481517,17,-7,10,0
4.201051,0,0,48.87236444789925,-10.55897690459229,18,-5,10,0
4.281596,0,0,49.56317968112695,-6.594787327603918,18,-4,10,0
4.361968,0,0,49.932758846785866,-2.5922179593405175,18,-2,10,0
4.442514,0,0,49.97944166841704,1.4336702944886794,18,-1,10,0
4.522982,0,0,49.702685981384896,5.444539120609317,18,0,10,0
4.603335,0,0,49.10545278294683,9.415652233476983,18,1,10,0
4.683721,0,0,48.1905907394368,13.32917717580902,18,2,10,0
4.764189,0,0,46.96332324610917,17.159436753036573,18,4,10,0
4.844703,0,0,45.430989244923595,20.881216828231942,17,5,10,0
4.92528,0,0,43.60308372450169,24.46979954380697,17,6,10,0
5.00588,0,0,41.48989451910268,27.903201479287887,16,7,10,0
5.086246,0,0,39.11759965194824,31.141827137627914,15,9,10,0
5.166571,0,0,36.49099446541846,34.181973654615085,14,10,10,0
5.24722,0,0,33.62024043456851,37.00918038976011,13,11,10,0
5.327769,0,0,30.53327079202382,39.594436158896684,12,12,10,0
5.408246,0,0,27.250286658697743,41.92161586841328,11,13,10,0
5.488767,0,0,23.79208891988298,43.97654493964233,10,13,10,0
5.569224,0,0,20.17796049380603,45.74767655641544,9,14,10,0
5.649427,0,0,16.44792646193937,47.217218417677195,7,15,10,0
5.729768,0,0,12.607590788025597,48.3843844077993,6,15,10,0
5.810052,0,0,8.685575138631364,49.23982924941138,5,16,10,0
5.890296,0,0,4.709593323566002,49.77770314836375,3,16,10,0
5.970708,0,0,0.6983631254798016,49.99512265156442,2,16,10,0
6.050955,0,0,-3.3128311589786454,49.890130784676245,0,16,10,0
6.131348,0,0,-7.30981283399669,49.462780313402696,0,16,10,0
6.211734,0,0,-11.257980296099026,48.7160946674982,-1,16,10,0
6.29204,0,0,-15.129055459776463,47.656181979833505,-3,15,10,0
6.372543,0,0,-18.91029506544559,46.28607501763121,-4,15,10,0
6.453126,0,0,-22.57534415959267,44.61338180496907,-6,14,10,0
6.533742,0,0,-26.095477044322244,42.65004194405031,-7,14,10,0
6.614085,0,0,-29.435104204618174,40.41750413451169,-8,13,10,0
6.694649,0,0,-32.590479926829616,37.91913261321936,-9,12,10,0
6.775124,0,0,-35.534918503348514,35.17484281358453,-10,11,10,0
6.855619,0,0,-38.247873370954096,32.20403984905404,-11,10,10,0
6.936192,0,0,-40.7148877732731,29.02236919360266,-12,9,10,0
