time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030387,0,0,-36.30333644862544,-34.381212350612415,-23,-22,0,90,165,NA
2.110942,0,0,-33.41848832605099,-37.19145920774814,-14,-17,0,90,170,NA
2.191447,0,0,-30.319695488199706,-39.75822009978367,-13,-18,0,90,170,NA
2.27204,0,0,-27.020099564936515,-42.07034845946629,-11,-19,0,90,189,NA
2.352534,0,0,-23.549491638336523,-44.106931922045064,-10,-20,0,90,202,NA
2.433015,0,0,-19.928198629193496,-45.85702671778242,-8,-21,0,100,222,NA
2.513509,0,0,-16.1761639815293,-47.31101054556618,-6,-22,0,100,235,NA
2.594017,0,0,-12.319175780881856,-48.45862057549445,-5,-22,0,100,235,NA
2.674606,0,0,-8.37784386610069,-49.293120535783075,-3,-23,0,100,179,NA
2.755172,0,0,-4.384128236551913,-49.807423338348556,-1,-23,0,100,176,NA
2.835764,0,0,-0.3594393362982314,-49.99870801694301,0,-23,0,110,183,NA
2.916337,0,0,3.6638268452541283,-49.865583049313635,2,-23,0,110,184,NA
2.996747,0,0,7.659092353062837,-49.40990087348136,3,-23,0,110,184,NA
3.077245,0,0,11.606987815128148,-48.63412211461688,5,-23,0,110,184,NA
3.157862,0,0,15.48581394606256,-47.541451034102174,7,-22,0,120,187,NA
3.238483,0,0,19.264720083364132,-46.139685305706486,9,-21,0,120,190,NA
3.318865,0,0,22.907169784530435,-44.44391490927297,10,-21,0,120,190,NA
3.399413,0,0,26.40967947802915,-42.456198956898696,12,-20,0,120,190,NA
3.479724,0,0,29.729491723956013,-40.20145920032295,13,-19,0,120,195,NA
3.560128,0,0,32.86246769809747,-37.68365981153503,15,-18,0,130,209,NA
3.640621,0,0,35.78616888013799,-34.91919410413481,16,-17,0,130,209,NA
3.721124,0,0,38.47803842512292,-31.928679254782278,17,-15,0,130,260,NA
3.801552,0,0,40.91933687167671,-28.733392942397856,19,-14,0,130,260,NA
3.881951,0,0,43.094497521237024,-25.35476845471274,20,-12,0,130,269,NA
3.962482,0,0,44.99439713990267,-21.80605938762708,20,-11,0,130,269,NA
4.042909,0,0,46.60078350652624,-18.12089888989705,21,-9,0,130,249,NA
4.123462,0,0,47.90784745992642,-14.312167961438318,22,-7,0,140,236,NA
4.203965,0,0,48.9037719737554,-10.4125446812456,22,-5,0,140,224,NA
4.284458,0,0,49.58261661945127,-6.447024830766076,23,-4,0,140,224,NA
4.364904,0,0,49.94037546250116,-2.441085550408279,23,-2,0,140,227,NA
4.445411,0,0,49.97494629651227,1.5826378804750771,23,0,0,140,227,NA
4.52591,0,0,49.68596188420961,5.595104256479005,23,1,0,140,227,NA
4.606412,0,0,49.07487680169838,9.57373839720545,23,3,0,140,235,NA
4.686977,0,0,48.1454261703825,13.491402405689634,22,4,0,140,235,NA
4.767398,0,0,46.90583960683662,17.3159524940939,22,6,0,140,242,NA
4.847768,0,0,45.364447043084304,21.025388093331348,21,8,0,140,242,NA
4.928167,0,0,43.528867710258794,24.601578727040856,20,9,0,130,261,NA
5.008627,0,0,41.41131610316967,28.01968769639234,19,11,0,130,270,NA
5.089041,0,0,39.02628551118389,31.256184015320198,18,13,0,130,254,NA
5.169421,0,0,36.391112431428496,34.28829152937093,17,14,0,130,254,NA
5.250003,0,0,33.51278569640443,37.106511488778764,16,15,0,130,254,NA
5.330482,0,0,30.42039519603591,39.681224226540635,14,16,0,130,237,NA
5.410838,0,0,27.138086651665127,41.99433596196891,13,17,0,130,238,NA
5.491457,0,0,23.667885459795375,44.04351482184416,11,18,0,130,220,NA
5.571894,0,0,20.05255148435702,45.80278571186703,10,19,0,130,220,NA
5.652437,0,0,16.302729061692016,47.2675472723206,8,20,0,130,199,NA
5.732986,0,0,12.446701744272659,48.42602209235361,6,21,0,130,171,NA
5.813607,0,0,8.50607669836609,49.271154433415845,5,21,0,130,170,NA
5.894109,0,0,4.516407804823372,49.79560282334707,3,21,0,140,161,NA
5.974644,0,0,0.49555503544581664,49.9975441917585,1,21,0,140,161,NA
6.055153,0,0,-3.526869535137396,49.87545680274136,0,21,0,140,159,NA
6.135554,0,0,-7.521662535616605,49.43100841273928,-2,21,0,140,162,NA
6.216007,0,0,-11.469124170524665,48.66681816968402,-3,21,0,140,161,NA
6.296631,0,0,-15.35086090869483,47.58519800696331,-5,20,0,140,160,NA
6.3774,0,0,-19.14065640983073,46.19129000364469,-7,20,0,140,160,NA
6.458095,0,0,-22.80174023433154,44.498097063650555,-9,19,0,140,161,NA
6.538531,0,0,-26.303944470234836,42.52178859486983,-10,18,0,140,161,NA
6.618929,0,0,-29.632900573814787,40.27271040769925,-12,17,0,140,161,NA
6.699574,0,0,-32.78192209760689,37.75374926529064,-13,16,0,140,161,NA
6.780076,0,0,-35.71125293017659,34.99580566520728,-15,15,0,140,163,NA
6.860636,0,0,-38.41157043955853,32.008612221819824,-16,14,0,140,165,NA
6.941266,0,0,-40.865209119775955,28.810322518100694,-17,12,0,140,165,NA
7.021852,0,0,-43.0514090575521,25.427862241236898,-18,11,0,140,170,NA
