time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030499,0,0,-36.211563790380936,-34.47785735592008,-23,-22,0,70,79,NA
2.111023,0,0,-33.32001732337012,-37.2797055456493,-14,-17,0,70,79,NA
2.191406,0,0,-30.218702443445146,-39.83503511526659,-13,-18,0,70,79,NA
2.271883,0,0,-26.918614302813758,-42.13535574806923,-11,-19,0,70,79,NA
2.3523,0,0,-23.44711906875875,-44.1614380129933,-10,-20,0,70,79,NA
2.432812,0,0,-19.819105922049864,-45.904281286722785,-8,-21,0,70,79,NA
2.513315,0,0,-16.063873033153676,-47.349255360298095,-6,-22,0,70,80,NA
2.593694,0,0,-12.209051396443863,-48.486483312352036,-5,-22,0,70,80,NA
2.674051,0,0,-8.277625699838568,-49.310048801166,-3,-23,0,70,79,NA
2.754481,0,0,-4.289452754209791,-49.81566616105221,-1,-23,0,70,80,NA
2.835085,0,0,-0.2652539283591085,-49.999296398584356,0,-23,0,70,80,NA
2.915787,0,0,3.766027791326479,-49.85796861761374,2,-23,0,70,80,NA
2.996487,0,0,7.773292977430356,-49.39206329246665,3,-23,0,70,80,NA
3.077137,0,0,11.72673171654978,-48.60538821209091,5,-22,0,70,79,NA
3.157817,0,0,15.606864206294684,-47.50185038128807,7,-22,0,70,79,NA
3.238333,0,0,19.375846686004007,-46.09312926240165,9,-21,0,70,79,NA
3.31901,0,0,23.02760721535153,-44.381632528958306,10,-21,0,70,80,NA
3.399711,0,0,26.530119887665787,-42.38104220929542,12,-20,0,70,79,NA
3.480347,0,0,29.857814014413208,-40.106245676711126,13,-19,0,70,79,NA
3.561026,0,0,32.99319997199329,-37.56925279544513,15,-18,0,70,79,NA
3.641693,0,0,35.913275712189666,-34.78845537847646,16,-16,0,70,79,NA
3.722361,0,0,38.599692802689525,-31.78149957975549,17,-15,0,70,80,NA
3.80311,0,0,41.03723780265739,-28.5647529925982,19,-14,0,70,80,NA
3.883753,0,0,43.20508337249876,-25.165865190281682,20,-12,0,70,81,NA
3.964343,0,0,45.09054706139798,-21.606539882726572,20,-11,0,70,81,NA
4.045142,0,0,46.68741157899089,-17.896524803824555,21,-9,0,70,83,NA
4.125892,0,0,47.978834251042166,-14.072365256452906,22,-7,0,70,84,NA
4.206538,0,0,48.95659843007938,-10.161273057838212,22,-5,0,70,89,NA
