time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030475,0,0,-36.31986584094535,-34.36375045445027,-18,-17,77,50
2.110715,0,0,-33.44818256542197,-37.16475592641773,-9,-11,76,50
2.191063,0,0,-30.35744653260426,-39.72940271411179,-8,-12,76,50
2.271596,0,0,-27.063035446845284,-42.04274149485016,-7,-13,76,50
2.35217,0,0,-23.59111363725311,-44.08468393165828,-6,-13,76,50
2.432616,0,0,-19.972359373210143,-45.83781038692124,-5,-14,75,50
2.513016,0,0,-16.226970247751236,-47.29360883437207,-4,-14,75,50
2.593523,0,0,-12.372036959385996,-48.44515147541173,-3,-15,75,50
2.673775,0,0,-8.446974946669567,-49.28132114960329,-1,-15,75,50
2.754084,0,0,-4.467876480166389,-49.799980720457874,0,-15,75,50
2.834426,0,0,-0.4546963081148715,-49.99793246992706,0,-15,76,50
2.914643,0,0,3.553037297676423,-49.873599488720686,1,-15,76,50
2.99488,0,0,7.538510714191416,-49.428441774063856,2,-15,77,50
3.075189,0,0,11.478460179111291,-48.66461704274017,4,-15,77,50
3.155516,0,0,15.345808050227419,-47.58682774976259,5,-14,77,50
3.235751,0,0,19.112092364246934,-46.20311597133352,6,-14,77,50
3.316066,0,0,22.757399912017682,-44.52079007884404,7,-13,77,50
3.396318,0,0,26.253475640427393,-42.55296719146017,8,-13,77,50
3.476725,0,0,29.586462460384794,-40.3068386143126,9,-12,77,50
3.556986,0,0,32.72270469269553,-37.80508692748427,10,-11,77,50
3.637411,0,0,35.65404826162208,-35.054084534586316,11,-10,77,50
3.717625,0,0,38.3485186263162,-32.084125656889576,12,-9,77,50
3.79784,0,0,40.79595335709426,-28.90830658627014,12,-9,77,50
3.878128,0,0,42.982866503190934,-25.543554708945017,13,-8,77,50
3.958356,0,0,44.89174922889638,-22.01660398812409,14,-6,77,50
4.038603,0,0,46.512237316860805,-18.34698285222998,14,-5,76,50
4.11883,0,0,47.83300031031713,-14.560359930757258,14,-4,77,50
4.199169,0,0,48.84702300780152,-10.675595687141257,15,-3,77,50
4.279574,0,0,49.54667841323635,-6.717637844907919,15,-2,77,50
