time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030412,0,0,-36.306549561029996,-34.37781928762312,-21,-20,78,30
2.110906,0,0,-33.42493423105879,-37.18566621225703,-11,-13,78,30
2.191288,0,0,-30.332348548464772,-39.748567666451166,-10,-14,78,30
2.271837,0,0,-27.034200722445572,-42.06128851210485,-9,-15,78,30
2.352317,0,0,-23.567124940014303,-44.09751265164233,-7,-16,78,30
2.432768,0,0,-19.94492504869443,-45.84975425018069,-6,-17,77,30
2.512957,0,0,-16.208206248002085,-47.30004281416906,-5,-17,77,30
2.593178,0,0,-12.36563802728713,-48.44678519961991,-3,-18,77,30
2.673755,0,0,-8.428985773430202,-49.28440117147931,-2,-18,77,30
2.754319,0,0,-4.434547295626377,-49.80295965384841,-1,-18,77,30
2.834757,0,0,-0.4163958175250977,-49.99826611516791,0,-19,77,30
2.915147,0,0,3.5975193340911753,-49.870410612314394,1,-19,77,30
2.995594,0,0,7.595814430441081,-49.419668181183724,3,-18,77,30
3.075936,0,0,11.537044716766609,-48.650761548030545,4,-18,77,30
3.156178,0,0,15.400075329518332,-47.56929345539159,5,-18,77,30
3.236664,0,0,19.17457783277767,-46.17721911218508,7,-18,78,30
3.316937,0,0,22.815696893992616,-44.49094262028459,8,-17,78,30
3.397326,0,0,26.31299337719269,-42.516189616801434,9,-16,77,30
3.477871,0,0,29.6503598727327,-40.259857916011605,10,-16,77,30
3.558442,0,0,32.792457919766385,-37.74459833645539,12,-15,77,30
3.638883,0,0,35.719609189935156,-34.987276534739024,13,-14,78,30
3.719217,0,0,38.41322361422375,-32.00662824421908,14,-13,79,30
3.799724,0,0,40.86245884846404,-28.814223169427677,15,-12,79,30
3.880095,0,0,43.04435452045307,-25.43980235610236,15,-11,80,30
3.960296,0,0,44.94409236903779,-21.909554105992186,16,-9,80,30
4.040804,0,0,46.55934682516444,-18.227101338777103,17,-8,81,30
4.12099,0,0,47.870660454600376,-14.436061361755137,17,-7,82,40
4.201253,0,0,48.87397001959472,-10.551542755623773,18,-5,83,40
4.281805,0,0,49.56387122912972,-6.589587906860869,18,-4,84,40
4.362301,0,0,49.93349967191987,-2.577908166397394,18,-2,84,40
4.442782,0,0,49.979120830833786,1.4448117444555677,18,-1,86,40
4.52297,0,0,49.702776840012646,5.443709616787269,18,0,89,40
4.603254,0,0,49.10649858762343,9.410196409413471,18,1,90,40
4.683704,0,0,48.19187757378704,13.324523853148431,18,2,90,40
4.764031,0,0,46.96614140000575,17.15172183760761,18,4,93,40
4.844291,0,0,45.439742378319046,20.862162222358354,17,5,96,40
4.924657,0,0,43.61928699099358,24.440904287635068,17,6,95,40
5.004994,0,0,41.516054400942245,27.86426433584789,16,7,103,40
5.085381,0,0,39.14608703199899,31.106010192295003,15,9,103,40
5.165717,0,0,36.52185847259553,34.148994915044014,14,10,112,40
5.245952,0,0,33.6672699105386,36.96640281080838,13,11,126,40
5.326285,0,0,30.592567199638303,39.54863881520595,12,12,129,40
5.406737,0,0,27.31771686304031,41.877707021645335,11,13,140,40
5.487069,0,0,23.86646563091374,43.936224442803606,10,13,140,40
5.56758,0,0,20.255557210747092,45.71337224578987,9,14,141,40
5.64801,0,0,16.517322175085432,47.192987489291575,7,15,137,40
5.728265,0,0,12.680874360746458,48.365229508883374,6,15,133,40
5.808604,0,0,8.758656853498527,49.22688218974124,5,16,133,40
5.889006,0,0,4.776761494650799,49.771302470632826,3,16,6553,40
5.969367,0,0,0.7668415052323542,49.99411919521988,2,16,6553,40
6.04978,0,0,-3.250155207525978,49.89425308717419,0,16,6553,40
6.129967,0,0,-7.239071894713274,49.47318301972466,0,16,6553,40
6.210294,0,0,-11.185444899000982,48.7328002726235,-1,16,6553,40
6.290608,0,0,-15.05834373362393,47.67857258769425,-3,15,6553,40
6.370783,0,0,-18.829210655833705,46.3191194441155,-4,15,6553,40
6.451107,0,0,-22.484407120578627,44.65928163815528,-6,14,6553,40
6.531426,0,0,-25.99572344353317,42.710916200045865,-7,14,6553,40
6.611944,0,0,-29.34462302564157,40.48324467582838,-8,13,6553,40
6.692213,0,0,-32.49663818452851,37.999585612264816,-9,12,6553,40
6.772454,0,0,-35.43938495882576,35.27109289120702,-10,11,6553,40
6.852798,0,0,-38.15580387959734,32.313072127263055,-11,10,6553,40
6.933138,0,0,-40.624996347436124,29.148064631649245,-12,9,6553,40
7.013488,0,0,-42.83382159133955,25.79270687386831,-13,8,104,40
7.094028,0,0,-44.77051051947245,22.262106545109486,-14,7,109,40
7.174313,0,0,-46.411725940796984,18.59977675125034,-14,6,112,40
7.254563,0,0,-47.752785560842206,14.821318132346411,-15,4,115,40
7.334966,0,0,-48.789334662497076,10.936216127658666,-15,3,115,40
