time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030514,0,0,-36.3060086000205,-34.378390589660206,-23,-22,10,0
2.110743,0,0,-33.43365721278366,-37.177823569677656,-14,-17,10,0
2.191025,0,0,-30.345292244335774,-39.738686926040415,-13,-18,10,0
2.271368,0,0,-27.0571813024493,-42.04650924828823,-11,-19,10,0
2.35172,0,0,-23.5951601218283,-44.08251829042079,-10,-20,10,0
2.431963,0,0,-19.985221531937867,-45.83220396532734,-8,-21,10,0
2.512287,0,0,-16.24400673936487,-47.287759991899264,-6,-22,10,0
2.59264,0,0,-12.39532078130218,-48.439199237070575,-5,-22,10,0
2.672848,0,0,-8.474420660044093,-49.27660899936823,-3,-23,10,0
2.753173,0,0,-4.493617067876967,-49.797664660577055,-1,-23,10,0
2.833637,0,0,-0.475878881476153,-49.99773534161488,0,-23,10,0
2.913833,0,0,3.5306465776720843,-49.875189571003865,1,-23,10,0
2.994117,0,0,7.5191361564488375,-49.43139277281982,3,-23,10,0
3.074536,0,0,11.465464915323862,-48.667680387249575,5,-23,10,0
3.154869,0,0,15.333724508853688,-47.590722758606844,7,-22,10,0
3.235232,0,0,19.103775215303955,-46.206555514592715,9,-21,10,0
3.315762,0,0,22.758450749445856,-44.520252913534165,10,-21,10,0
3.396065,0,0,26.257056879988777,-42.55075750208255,12,-20,10,0
3.476463,0,0,29.58906668130723,-40.30492690638645,13,-19,10,0
3.556923,0,0,32.73303286777074,-37.79614476738918,15,-18,10,0
3.637209,0,0,35.658602822658686,-35.0494514184727,16,-17,10,0
3.717781,0,0,38.36368320245324,-32.065991504112375,17,-15,10,0
3.798169,0,0,40.81487769217786,-28.881581656352584,18,-14,10,0
3.878628,0,0,43.003893068442224,-25.50813950404825,20,-12,10,0
3.958886,0,0,44.91156236951567,-21.976159025842154,20,-11,10,0
4.039282,0,0,46.53065134013868,-18.30023185269658,21,-9,10,0
4.119637,0,0,47.84998819495072,-14.504434830184762,22,-7,10,0
4.199854,0,0,48.85839284232538,-10.623438655398168,22,-6,10,0
4.280268,0,0,49.55361558864424,-6.666271978615525,23,-4,10,0
4.360637,0,0,49.92894747559001,-2.664620794742544,23,-2,10,0
4.440859,0,0,49.98190292378874,1.34513200726132,23,0,10,0
4.52114,0,0,49.713121760995286,5.348413295217318,23,1,10,0
4.601547,0,0,49.12288004208695,9.324304605209752,23,2,10,0
4.681737,0,0,48.21799935629013,13.229683974940794,22,4,10,0
4.761931,0,0,47.00321084255712,17.049873034428177,22,6,10,0
4.842255,0,0,45.48441297951875,20.764589471226884,21,8,10,0
4.922714,0,0,43.668658621385084,24.35258208504655,20,9,10,0
5.003097,0,0,41.57117918916804,27.78195566950034,19,11,10,0
5.083376,0,0,39.209074324276614,31.02657716592909,18,12,10,0
5.163692,0,0,36.593368614596415,34.07235497344247,17,14,10,0
5.243897,0,0,33.745933081839766,36.89460665782999,16,15,10,0
5.324232,0,0,30.676332800802857,39.48370050912638,15,16,10,0
5.404663,0,0,27.40503103092662,41.820620203363184,13,17,10,0
5.48487,0,0,23.9666198137317,43.88167196796452,12,18,10,0
5.565243,0,0,20.36665527450481,45.66398310407761,10,19,10,0
5.645678,0,0,16.630994890505523,47.15304877684983,8,20,10,0
5.725932,0,0,12.797544293277946,48.33448934313457,7,20,10,0
5.806241,0,0,8.879927936519296,49.20515094827191,5,21,10,0
5.88666,0,0,4.8983421521155135,49.75948396196255,3,21,10,0
5.966864,0,0,0.8944016470592189,49.991999816908084,1,21,10,0
6.047374,0,0,-3.1279527785597825,49.9020631979791,0,21,10,0
6.127751,0,0,-7.125747106891723,49.48963253216399,-1,21,10,0
6.208041,0,0,-11.072084931156917,48.75868061460695,-3,21,10,0
6.288292,0,0,-14.943693634034833,47.7146310954209,-5,20,10,0
6.36868,0,0,-18.726649310138978,46.36067952063549,-7,20,10,0
6.449039,0,0,-22.38925182377062,44.707062112956876,-8,19,10,0
6.529364,0,0,-25.90430148130725,42.76642567208,-10,18,10,0
6.609593,0,0,-29.248271521274106,40.55291127672373,-12,17,10,0
6.689825,0,0,-32.4039505769438,38.07865526783979,-13,16,10,0
6.770149,0,0,-35.35398604980007,35.356692017078494,-14,15,10,0
6.85067,0,0,-38.08334424337589,32.39843964206499,-16,14,10,0
6.930881,0,0,-40.55800805054773,29.24120351441961,-17,12,10,0
7.011274,0,0,-42.774044985203105,25.891718282180896,-18,11,10,0
7.0917,0,0,-44.71678900033447,22.36981853971028,-19,9,10,0
7.171907,0,0,-46.36543740604098,18.714866126865445,-19,7,10,0
7.252366,0,0,-47.718908068221715,14.930030568508698,-20,6,10,0
7.332724,0,0,-48.76388875202483,11.04912457075882,-21,4,10,0
7.413113,0,0,-49.493386997035365,7.099622776013577,-21,2,10,0
7.493514,0,0,-49.90382045812988,3.0997909095192235,-21,0,10,0
7.573893,0,0,-49.991583845872,-0.91735739008835,-21,0,10,0
