time,padx,pady,error_x,error_y,vx,vy,vz,h,tof,cam
2.030498,0,0,-36.15412871049357,-34.53808010276577,-21,-20,0,90,146,NA
2.111083,0,0,-33.25627606590306,-37.33657860903223,-11,-13,0,90,175,NA
2.191721,0,0,-30.141907325817847,-39.89317514013905,-10,-14,0,90,190,NA
2.272243,0,0,-26.83574435810554,-42.188183472939514,-8,-15,0,90,203,NA
2.352551,0,0,-23.362676578384814,-44.20616860907298,-7,-16,0,100,207,NA
2.433197,0,0,-19.72777927268001,-45.94360374381201,-6,-17,0,100,207,NA
2.513591,0,0,-15.972210665697581,-47.380254183051576,-5,-17,0,100,195,NA
2.594014,0,0,-12.11421234957177,-48.51026550277253,-3,-18,0,100,170,NA
2.674419,0,0,-8.178761055839006,-49.326543235782204,-2,-18,0,100,170,NA
2.754879,0,0,-4.187800698089859,-49.824314599531405,-1,-18,0,100,170,NA
2.835431,0,0,-0.16805160148489034,-49.999717585794805,0,-19,0,110,172,NA
2.91595,0,0,3.8567198237898426,-49.851035216941945,1,-19,0,110,173,NA
2.996367,0,0,7.846801817300593,-49.38043844722329,3,-18,0,110,178,NA
3.076654,0,0,11.78415576400325,-48.59149794902097,4,-18,0,110,181,NA
3.157049,0,0,15.646961610825985,-47.488657512603346,5,-18,0,110,181,NA
3.237354,0,0,19.40741485197062,-46.079846449000996,7,-17,0,110,183,NA
3.317747,0,0,23.044070297750732,-44.37308670931427,8,-17,0,120,184,NA
3.39826,0,0,26.537394684802557,-42.376487387972745,9,-16,0,120,186,NA
3.478659,0,0,29.856848236271794,-40.10696464949989,11,-16,0,120,189,NA
3.558915,0,0,32.97590010766307,-37.58443842987981,12,-15,0,120,189,NA
3.639421,0,0,35.89004391201476,-34.81242232298195,13,-14,0,120,188,NA
3.720067,0,0,38.57873318244479,-31.806938646115146,14,-13,0,120,187,NA
3.800492,0,0,41.007508791416406,-28.60741551978973,15,-12,0,120,188,NA
3.880904,0,0,43.17404253290357,-25.219081096801165,16,-10,0,120,185,NA
3.96135,0,0,45.0609668041359,-21.668162604996358,16,-9,0,120,185,NA
4.041878,0,0,46.658704050891735,-17.97123635956356,17,-8,0,120,188,NA
4.12237,0,0,47.95257466553044,-14.161588291809926,17,-7,0,120,187,NA
4.202986,0,0,48.93684467354312,-10.255985247528123,18,-5,0,120,191,NA
4.283618,0,0,49.604169586800964,-6.279041296558721,18,-4,0,120,191,NA
4.363956,0,0,49.947990076112895,-2.2799752973503584,18,-2,0,120,196,NA
4.444289,0,0,49.96980511032129,1.7374053172787265,18,-1,0,120,195,NA
4.524581,0,0,49.66944846676712,5.739850956877295,18,0,0,120,200,NA
4.604803,0,0,49.049713277750485,9.701836288583095,18,1,0,120,207,NA
4.685049,0,0,48.11425208571421,13.602159616485377,18,2,0,120,207,NA
4.765361,0,0,46.86848429346483,17.416807400704652,18,4,0,120,215,NA
4.845641,0,0,45.32000760840813,21.121006376918437,17,5,0,120,220,NA
4.925905,0,0,43.48095252804737,24.686165503246773,16,6,0,120,227,NA
5.006288,0,0,41.35805206501341,28.09824779924257,16,8,0,120,231,NA
5.086659,0,0,38.96871944971462,31.32792531351914,15,9,0,120,231,NA
5.167223,0,0,36.32265651517757,34.36080068450716,14,10,0,120,238,NA
5.247598,0,0,33.445308327427234,37.16734253189656,13,11,0,120,229,NA
5.327893,0,0,30.35745253157683,39.72939813026444,12,12,0,120,220,NA
5.408225,0,0,27.06997787540166,42.03827182253411,11,13,0,120,209,NA
5.488719,0,0,23.602124164108513,44.07879008028697,10,13,0,120,209,NA
5.569118,0,0,19.988419160456438,45.83080950044302,9,14,0,120,183,NA
5.649522,0,0,16.2408006723311,47.28886119924659,7,15,0,120,165,NA
5.729911,0,0,12.392290735439552,48.43997450792413,6,15,0,120,160,NA
5.810267,0,0,8.462514915853408,49.27865502729309,4,16,0,120,160,NA
5.890659,0,0,4.477358764737054,49.79912909370838,3,16,0,120,153,NA
5.970926,0,0,0.47195270108484655,49.997772556864355,2,16,0,120,150,NA
6.051146,0,0,-3.5379877526459524,49.87466934890022,0,16,0,120,145,NA
6.131605,0,0,-7.532987983317113,49.42928375005246,0,16,0,120,145,NA
6.211975,0,0,-11.479102572693945,48.664465517722185,-2,16,0,120,144,NA
6.29248,0,0,-15.352653438659294,47.58461970419038,-3,15,0,120,146,NA
6.372758,0,0,-19.12162456089478,46.19917179076033,-4,15,0,120,146,NA
6.453006,0,0,-22.763008123658736,44.51792292057488,-6,14,0,120,144,NA
6.533419,0,0,-26.264080506792713,42.54642258912858,-7,14,0,120,147,NA
6.613871,0,0,-29.600225634245454,40.29673240353067,-8,13,0,120,149,NA
6.694382,0,0,-32.743569113089706,37.7870173702069,-9,12,0,120,155,NA
6.77503,0,0,-35.68129449923329,35.02635040735738,-10,11,0,120,155,NA
6.85546,0,0,-38.38112650737901,32.04511082871408,-11,10,0,120,167,NA
6.935828,0,0,-40.82935614394144,28.861110111553085,-12,9,0,120,170,NA
7.016445,0,0,-43.02046469302381,25.4801808784061,-13,8,0,120,183,NA
7.096713,0,0,-44.92557611440633,21.94749668615268,-14,7,0,120,199,NA
7.177203,0,0,-46.54502375073927,18.263645967963722,-14,6,0,120,199,NA
7.257662,0,0,-47.861786549545,14.46545499753786,-15,4,0,120,233,NA
7.338135,0,0,-48.86963733780165,10.571591482446863,-15,3,0,120,236,NA
7.418487,0,0,-49.56083752835049,6.612365952399037,-16,2,0,120,248,NA
7.498811,0,0,-49.93156597362003,2.6150945340522056,-16,0,0,120,248,NA
7.579161,0,0,-49.98034439582263,-1.4018466659950446,-16,0,0,120,240,NA
7.659511,0,0,-49.706802982562095,-5.406823212641223,-16,-2,0,120,245,NA
7.739994,0,0,-49.110992743238135,-9.386713576838881,-16,-3,0,120,249,NA
7.820481,0,0,-48.197073184555194,-13.305718185901528,-16,-4,0,120,258,NA
7.901004,0,0,-46.97155995212582,-17.136877068586607,-15,-6,0,120,258,NA
7.981475,0,0,-45.44090438293099,-20.859631081620865,-15,-7,0,120,245,NA
8.061791,0,0,-43.620875578381025,-24.43806894530339,-14,-8,0,120,251,NA
8.142062,0,0,-41.521312765262095,-27.856428095670893,-13,-10,0,120,246,NA
8.222382,0,0,-39.15309909086601,-31.09718365995267,-13,-11,0,120,246,NA
8.302886,0,0,-36.525755149959544,-34.14482699802715,-12,-12,0,120,246,NA
