time,padx,pady,error_x,error_y,vx,vy,tof,h
2.030684,0,0,-36.24295799784472,-34.44485441348915,-23,-22,10,0
2.111059,0,0,-33.350208402183426,-37.25269922476671,-14,-17,10,0
2.19147,0,0,-30.2528725019975,-39.80909073789407,-13,-18,10,0
2.271688,0,0,-26.962530173519895,-42.10726738512046,-11,-19,10,0
2.351955,0,0,-23.499967899278772,-44.13333783811131,-10,-20,10,0
2.432222,0,0,-19.885463167922836,-45.87557470590624,-8,-21,10,0
2.512466,0,0,-16.144181988030958,-47.32193347632086,-6,-22,10,0
2.592838,0,0,-12.293155669773693,-48.46522798541972,-5,-22,10,0
2.673172,0,0,-8.3639051899896,-49.29548752140367,-3,-23,10,0
2.753504,0,0,-4.381527602269815,-49.807652181874104,-1,-23,10,0
2.83381,0,0,-0.3731003542885498,-49.998607941878035,0,-23,10,0
2.914161,0,0,3.6429734274224517,-49.86711085081122,2,-23,10,0
2.99458,0,0,7.637345291945771,-49.41326701293484,3,-23,10,0
3.075003,0,0,11.581418623739973,-48.64021733773081,5,-23,10,0
3.155314,0,0,15.446964540960478,-47.55408801007869,7,-22,10,0
3.235781,0,0,19.218276979628193,-46.159049274592874,9,-21,10,0
3.316208,0,0,22.865590662279413,-44.46532091040253,10,-21,10,0
3.396552,0,0,26.360345599617613,-42.48684713965865,12,-20,10,0
3.477004,0,0,29.689805872248037,-40.23077711489334,13,-19,10,0
3.557393,0,0,32.82380815865561,-37.71733842629638,15,-18,10,0
3.63776,0,0,35.745633484615915,-34.96068773327415,16,-17,10,0
3.718225,0,0,38.44069621711749,-31.973627794532305,17,-15,10,0
3.798649,0,0,40.884752992222964,-28.78258106502813,19,-14,10,0
3.879122,0,0,43.06569534809744,-25.403658873966524,20,-12,10,0
3.959525,0,0,44.966796260821,-21.86291915636645,20,-11,10,0
4.039763,0,0,46.57520826814848,-18.18653278606435,21,-9,10,0
4.120076,0,0,47.884100620045764,-14.391417852641647,22,-7,10,0
4.200353,0,0,48.883805144002245,-10.50588381066626,22,-6,10,0
4.2807,0,0,49.56935431390778,-6.5482144819997865,23,-4,10,0
4.361112,0,0,49.93519917080535,-2.544775780299939,23,-2,10,0
4.441482,0,0,49.97831928049903,1.472277791892195,23,0,10,0
4.521821,0,0,49.69901938841014,5.4779076142659395,23,1,10,0
4.602296,0,0,49.097864970691944,9.455139095735237,23,2,10,0
4.682636,0,0,48.18047109319083,13.365710053648561,22,4,10,0
4.763084,0,0,46.95054593301469,17.19436642019351,22,6,10,0
4.843452,0,0,45.41890886251652,20.907479947100718,21,8,10,0
4.923839,0,0,43.59337826426187,24.48708581087142,20,9,10,0
5.004069,0,0,41.49034689328211,27.902528822225335,19,11,10,0
5.084422,0,0,39.11695368678778,31.142638524468346,18,12,10,0
5.164866,0,0,36.48772630199742,34.18546225094119,17,14,10,0
5.245191,0,0,33.62766047036626,37.00243845059088,16,15,10,0
5.325562,0,0,30.54786303360981,39.58317905474262,14,16,10,0
5.405899,0,0,27.273041011295373,41.90681608039676,13,17,10,0
5.486218,0,0,23.822793169612588,43.95991953584378,11,18,10,0
5.566636,0,0,20.214111211186463,45.73171446536622,10,19,10,0
5.646869,0,0,16.483968059197966,47.20464804469302,8,20,10,0
5.727294,0,0,12.638388647055685,48.37634889495045,6,20,10,0
5.807504,0,0,8.721308464855765,49.23351275971313,5,21,10,0
